freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
2412,-105,96,76,388,13,3,61
2412,-105,33,69,395,16,6,55
2412,-105,83,75,388,12,1,60
2412,-105,47,66,398,23,11,60
2412,-105,33,67,397,18,9,57
2412,-105,47,76,388,13,0,55
2412,-105,43,68,395,14,6,54
2412,-105,93,77,386,12,5,62
2412,-105,89,77,387,12,5,62
2412,-105,54,70,394,13,4,57
2412,-105,34,68,395,14,6,54
2412,-105,59,71,392,16,6,57
2412,-105,117,76,388,12,2,58
2412,-105,84,74,389,12,7,60
2412,-105,55,69,394,16,3,55
2412,-105,74,74,389,12,4,60
2412,-105,60,70,394,15,8,57
2412,-105,51,67,396,13,5,53
2412,-105,48,69,394,15,5,55
2412,-105,44,74,390,10,8,58
2412,-105,81,69,395,11,7,57
2412,-105,66,69,395,16,8,55
2412,-105,67,69,395,16,7,56
2412,-105,47,67,396,19,5,53
2412,-105,72,69,395,15,7,55
2412,-105,60,69,395,15,7,56
2412,-105,57,68,395,13,3,53
2412,-105,66,69,395,16,6,55
2412,-105,58,68,395,17,7,54
2412,-105,51,69,395,11,3,52
2412,-105,50,69,395,13,5,55
2412,-105,76,69,395,16,6,55
2412,-105,49,68,395,16,6,54
2412,-105,51,69,395,15,6,54
2412,-105,56,69,395,12,6,56
2412,-105,65,69,395,15,3,56
2412,-105,71,69,395,12,6,55
2412,-105,57,69,395,15,7,55
2412,-105,39,69,395,12,5,55
2412,-105,65,69,395,12,6,50
2412,-105,65,69,395,12,6,55
2412,-105,75,68,396,17,8,57
2412,-105,51,69,395,10,8,57
2412,-105,65,69,395,15,6,54
2412,-105,71,69,395,9,6,55
2412,-105,68,69,395,15,9,55
2412,-105,75,69,395,11,5,56
2412,-105,73,69,395,14,6,55
2412,-105,78,69,395,11,6,56
2412,-105,45,66,397,17,4,52
2412,-105,69,69,395,11,5,55
2412,-105,64,68,395,16,8,54
2412,-105,72,69,395,12,2,49
2412,-105,63,69,395,15,6,55
2412,-105,53,69,395,11,7,55
2412,-105,57,68,396,18,5,54
2412,-105,55,69,395,12,5,55
2412,-105,66,69,395,16,7,55
2412,-105,64,69,395,11,2,55
2412,-105,56,69,395,14,6,54
2412,-105,56,69,395,12,6,55
2412,-105,53,69,395,17,4,55
2412,-105,58,69,395,9,8,50
2412,-105,69,69,395,14,8,55
2412,-105,53,69,395,14,6,56
2412,-105,60,69,395,12,8,55
2412,-105,65,69,395,15,3,54
2412,-105,63,69,395,13,6,55
2412,-105,64,69,395,15,7,55
2412,-105,69,69,395,13,6,55
2412,-105,62,68,395,16,5,54
2412,-105,60,69,395,11,7,55
2412,-105,62,69,395,17,6,50
2412,-105,50,69,395,12,4,55
2412,-105,73,69,395,16,6,55
2412,-105,57,69,395,11,6,50
2412,-105,60,69,395,16,6,54
2412,-105,48,69,395,13,7,56
2412,-105,36,68,395,16,6,53
2412,-105,59,69,395,10,5,55
2412,-105,53,69,395,15,8,56
2412,-105,45,69,395,12,5,55
2412,-105,55,69,395,17,8,55
2412,-105,59,69,395,11,7,55
2412,-105,45,68,395,15,6,53
2412,-105,55,69,395,10,6,50
2412,-105,48,69,395,16,8,55
2412,-105,71,69,395,14,5,55
2412,-105,44,69,395,15,6,54
2412,-105,59,69,395,10,7,55
2412,-105,44,67,396,17,3,52
2412,-105,66,69,395,12,7,55
2412,-105,53,69,395,16,7,54
2412,-105,62,69,395,12,6,56
2412,-105,57,69,395,15,5,54
2412,-105,55,69,395,11,6,49
2412,-105,50,69,395,15,6,55
2412,-105,60,69,395,16,7,58
2412,-105,65,69,395,8,8,54
2412,-105,57,69,395,17,4,54
2412,-105,54,69,395,16,7,55
2412,-105,48,69,395,13,6,55
2412,-105,44,68,395,14,2,54
2412,-105,43,69,395,15,7,55
2412,-105,42,69,395,16,7,54
2412,-105,47,69,395,14,4,54
2412,-105,67,69,395,14,4,54
2412,-105,61,68,395,16,4,53
2412,-105,72,69,395,10,4,51
2412,-105,68,69,395,16,5,55
2412,-105,74,69,395,12,4,54
2412,-105,70,69,395,15,3,55
2412,-105,63,69,395,11,6,56
2412,-105,60,69,395,16,5,54
2412,-105,79,69,395,12,4,54
2412,-105,67,69,395,16,7,55
2412,-105,38,66,397,20,11,58
2412,-105,65,69,395,16,6,55
2412,-105,66,69,395,11,10,51
2412,-105,64,69,395,14,7,55
2412,-105,51,69,395,13,6,55
2412,-105,67,69,395,10,7,55
2412,-105,58,69,395,13,4,55
2412,-105,54,69,395,16,7,54
2412,-105,47,69,395,11,7,54
2412,-105,55,68,395,15,5,53
2412,-105,63,69,395,12,6,55
2412,-105,57,69,395,16,8,55
2412,-105,60,69,395,13,4,54
2412,-105,60,69,395,15,6,54
2412,-105,69,69,395,11,8,56
2412,-105,64,69,395,11,4,51
2412,-105,64,69,395,14,6,56
2412,-105,66,69,395,15,8,54
2412,-105,77,69,395,12,5,56
2412,-105,68,69,395,15,7,54
2412,-105,69,69,395,13,7,55
2412,-105,78,69,395,17,5,55
2412,-105,64,68,396,16,6,54
2412,-105,66,69,395,14,7,55
2412,-105,69,69,395,15,4,55
2412,-105,53,69,395,12,8,51
2412,-105,64,69,395,15,4,54
2412,-105,62,69,395,15,4,54
2412,-105,53,69,395,16,7,55
2412,-105,50,69,395,12,4,55
2412,-105,49,69,395,15,2,54
2412,-105,44,69,395,13,6,55
2412,-105,54,69,395,15,5,54
2412,-105,56,69,395,12,5,56
2412,-105,49,69,395,15,8,56
2412,-105,54,69,395,10,5,49
2412,-105,51,69,395,15,5,54
2412,-105,71,69,395,13,5,55
2412,-105,53,69,395,12,5,54
2412,-105,49,69,395,11,5,55
2412,-105,52,68,395,16,6,53
2412,-105,70,69,395,11,5,56
2412,-105,78,69,395,16,6,55
2412,-105,71,69,395,9,7,55
2412,-105,64,68,395,16,5,54
2412,-105,83,69,395,11,5,55
2412,-105,58,68,396,16,8,53
2412,-105,62,69,395,12,4,55
2412,-105,60,69,395,10,7,50
2412,-105,64,69,395,12,5,55
2412,-105,54,67,396,15,6,53
2412,-105,49,69,395,12,6,55
2412,-105,54,69,395,15,7,54
2412,-105,49,69,395,13,4,55
2412,-105,55,69,395,17,6,55
2412,-105,52,69,395,15,7,55
2412,-105,50,69,395,15,5,54
2412,-105,57,69,395,14,7,55
2412,-105,55,69,395,9,6,50
2412,-105,57,69,395,15,5,54
2412,-105,51,69,395,16,7,54
2412,-105,66,69,395,11,6,55
2412,-105,78,69,395,13,3,55
2412,-105,64,69,395,13,7,56
2412,-105,60,68,395,16,7,54
2412,-105,71,69,395,14,5,55
2412,-105,75,69,395,11,6,55
2412,-105,59,69,395,16,5,55
2412,-105,73,69,395,11,7,54
2412,-105,67,69,395,16,7,55
2412,-105,75,69,395,13,4,56
2412,-105,77,69,395,10,6,51
2412,-105,82,69,395,10,7,56
2412,-105,58,67,396,17,5,52
2412,-105,69,69,395,13,4,55
2412,-105,61,69,395,16,7,54
2412,-105,72,69,395,11,4,55
2412,-105,53,67,396,18,7,53
2412,-105,44,69,395,11,7,55
2412,-105,45,68,395,16,4,54
2412,-105,55,69,395,12,5,54
2412,-105,65,69,395,10,6,51
2412,-105,46,69,395,10,4,56
2412,-105,53,69,395,16,6,55
2412,-105,60,69,395,13,6,55
2412,-105,56,68,395,16,4,54
2412,-105,72,69,395,12,7,55
2417,-95,73,69,385,9,10,59
2417,-95,68,69,385,4,8,52
2417,-95,58,69,385,4,8,53
2417,-95,67,69,385,5,8,52
2417,-95,72,69,385,5,8,53
2417,-95,68,69,385,5,7,52
2417,-95,72,69,385,6,7,53
2417,-95,64,69,385,5,9,53
2417,-95,71,69,385,6,8,53
2417,-95,59,69,385,5,8,51
2417,-95,53,69,385,9,11,57
2417,-95,63,69,385,4,7,53
2417,-95,75,69,385,4,10,51
2417,-95,66,69,385,5,9,52
2417,-95,63,69,385,5,8,52
2417,-95,60,69,385,6,8,53
2417,-95,56,69,385,6,8,51
2417,-95,64,69,385,3,9,53
2417,-95,56,69,385,5,8,53
2417,-95,57,69,385,5,9,53
2417,-95,64,69,385,5,7,52
2417,-95,56,69,385,4,8,53
2417,-95,53,69,385,5,11,50
2417,-95,61,69,385,4,7,52
2417,-95,59,69,385,7,8,53
2417,-95,56,69,385,3,11,51
2417,-95,57,69,385,5,8,51
2417,-95,56,69,385,5,7,52
2417,-95,67,69,385,7,6,53
2417,-95,47,69,385,6,7,52
2417,-95,53,69,385,5,8,52
2417,-95,54,69,385,5,6,52
2417,-95,55,69,385,5,8,52
2417,-95,52,69,385,5,8,52
2417,-95,62,69,385,5,6,51
2417,-95,64,69,385,4,13,51
2417,-95,57,69,385,3,7,52
2417,-95,64,69,385,5,6,52
2417,-95,53,69,385,4,8,53
2417,-95,63,69,385,5,8,52
2417,-95,51,69,385,5,6,52
2417,-95,55,69,385,6,8,51
2417,-95,54,69,385,6,7,52
2417,-95,56,69,385,4,8,52
2417,-95,63,69,385,5,9,53
2417,-95,59,69,385,7,7,52
2417,-95,59,69,385,4,7,52
