freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
2412,-100,28,62,396,17,9,56
2412,-100,36,63,395,19,10,57
2412,-100,83,72,386,9,3,60
2412,-100,32,65,393,15,9,55
2412,-100,106,75,383,6,4,62
2412,-100,101,74,385,9,4,62
2412,-100,35,65,394,15,11,59
2412,-100,67,74,384,4,4,57
2412,-100,50,68,391,9,5,56
2412,-100,58,68,391,12,6,57
2412,-100,52,70,388,10,7,59
2412,-100,33,66,393,15,3,54
2412,-100,57,66,393,13,7,57
2412,-100,33,63,396,17,5,53
2412,-100,35,62,396,18,9,56
2412,-100,36,63,395,14,5,53
2412,-100,43,63,396,14,6,56
2412,-100,52,72,387,8,9,62
2412,-100,55,69,389,12,5,57
2412,-100,53,63,396,19,5,56
2412,-100,39,67,391,14,8,58
2412,-100,34,66,393,12,5,54
2412,-100,69,67,391,13,6,58
2412,-100,28,64,394,16,7,55
2412,-100,45,66,392,14,6,57
2412,-100,38,66,392,10,7,58
2412,-100,36,65,393,14,6,53
2412,-100,85,71,388,6,6,60
2412,-100,45,67,392,12,7,59
2412,-100,38,67,391,14,10,55
2412,-100,85,74,384,7,1,60
2412,-100,38,67,392,13,7,55
2412,-100,90,74,385,7,4,61
2412,-100,64,67,392,15,8,59
2412,-100,51,69,390,8,4,57
2412,-100,42,66,392,12,5,55
2412,-100,41,65,393,11,3,53
2412,-100,39,67,392,12,5,54
2412,-100,47,66,392,13,7,54
2412,-100,45,67,392,8,4,56
2412,-100,46,65,393,16,4,55
2412,-100,47,72,387,11,10,60
2412,-100,59,68,391,14,7,58
2412,-100,31,65,394,15,5,53
2412,-100,55,69,390,8,5,58
2412,-100,43,67,392,13,8,58
2412,-100,93,71,387,9,6,62
2412,-100,46,64,395,19,9,59
2412,-100,29,64,394,13,6,53
2412,-100,94,73,386,10,5,62
2412,-100,25,65,393,16,7,53
2412,-100,35,70,389,11,2,52
2412,-100,84,69,390,16,8,61
2412,-100,39,67,391,13,8,57
2412,-100,33,66,393,13,1,50
2412,-100,33,63,395,19,10,55
2412,-100,62,68,390,13,6,56
2412,-100,56,66,393,13,2,53
2412,-100,47,67,392,13,4,55
2412,-100,34,67,392,12,7,55
2412,-100,60,66,393,15,4,57
2412,-100,51,69,389,9,6,57
2412,-100,78,73,385,9,7,65
2412,-100,36,65,393,14,7,57
2412,-100,77,78,380,5,10,63
2412,-100,41,66,392,14,6,55
2412,-100,53,68,390,9,2,56
2412,-100,48,66,392,12,7,55
2412,-100,46,66,393,15,8,57
2412,-100,30,64,395,14,6,57
2412,-100,59,67,391,12,4,55
2412,-100,43,66,393,13,7,59
2412,-100,62,68,391,12,4,56
2412,-100,68,73,386,9,11,62
2412,-100,82,69,389,13,6,59
2412,-100,37,66,392,9,4,53
2412,-100,41,65,394,16,7,57
2412,-100,35,69,389,9,9,58
2412,-100,88,72,386,9,3,59
2412,-100,103,71,387,11,7,63
2412,-100,68,70,389,12,6,58
2412,-100,65,69,389,7,4,58
2412,-100,36,72,387,9,7,59
2412,-100,87,73,386,10,4,60
2412,-100,33,64,394,16,6,54
2412,-100,44,67,391,10,3,56
2412,-100,32,66,393,13,6,54
2412,-100,88,73,385,8,5,60
2412,-100,53,69,390,11,4,57
2412,-100,30,64,395,17,5,53
2412,-100,100,71,388,15,8,61
2412,-100,40,65,394,16,5,57
2412,-100,47,75,383,8,6,60
2412,-100,40,66,393,13,5,53
2412,-100,93,72,386,7,5,60
2412,-100,104,75,384,6,4,62
2412,-100,38,67,392,12,7,56
2412,-100,87,74,385,9,3,61
2412,-100,62,66,392,15,11,62
2412,-100,106,73,385,9,8,64
2412,-100,101,73,385,7,2,60
2412,-100,39,66,392,12,5,53
2412,-100,65,73,385,8,6,60
2412,-100,76,72,387,13,6,62
2412,-100,56,67,392,14,6,54
2412,-100,66,73,385,6,9,63
2412,-100,45,66,392,13,6,57
2412,-100,51,66,392,10,5,54
2412,-100,47,66,393,14,5,53
2412,-100,75,71,387,10,3,58
2412,-100,69,70,388,9,6,58
2412,-100,50,65,393,11,7,58
2412,-100,85,74,385,5,5,63
2412,-100,57,69,389,13,6,58
2412,-100,29,63,395,19,5,53
2412,-100,56,67,391,13,5,56
2412,-100,57,68,390,9,6,59
2412,-100,39,65,393,12,4,53
2412,-100,44,67,392,9,8,57
2412,-100,33,65,394,12,4,53
2412,-100,81,71,387,9,6,61
2412,-100,61,66,392,12,6,56
2412,-100,47,65,394,11,3,55
2412,-100,41,69,390,11,10,59
2412,-100,98,72,387,7,5,59
2412,-100,113,72,386,7,3,60
2412,-100,32,64,394,15,4,52
2412,-100,86,72,386,7,3,58
2412,-100,136,73,386,8,1,60
2412,-100,71,71,387,10,7,61
2412,-100,30,65,393,14,7,53
2412,-100,68,70,388,10,5,59
2412,-100,63,68,391,13,5,58
2412,-100,35,69,389,10,9,58
2412,-100,58,68,391,8,5,57
2412,-100,39,65,394,16,6,57
2412,-100,51,74,384,6,7,62
2412,-100,79,74,385,5,3,61
2412,-100,48,65,393,15,5,56
2412,-100,32,66,393,9,5,53
2412,-100,46,66,393,15,4,55
2412,-100,47,66,393,10,7,56
2412,-100,34,64,395,16,8,57
2412,-100,44,66,392,11,5,55
2412,-100,36,65,394,16,6,56
2412,-100,36,64,395,13,6,54
2412,-100,24,64,395,16,5,51
2412,-100,65,66,392,15,9,60
2412,-100,29,65,393,13,5,55
2412,-100,38,66,392,14,7,57
2412,-100,33,66,392,14,5,56
2412,-100,46,67,392,7,3,55
2412,-100,35,64,395,18,7,56
2412,-100,79,70,389,13,9,62
2412,-100,39,65,393,15,8,58
2412,-100,45,67,392,13,8,57
2412,-100,74,75,384,8,9,65
2412,-100,37,66,392,13,2,53
2412,-100,42,67,391,10,7,56
2412,-100,65,75,384,8,4,56
2412,-100,57,69,389,7,3,57
2412,-100,52,68,390,12,6,56
2412,-100,30,63,395,18,7,55
2412,-100,39,67,391,12,3,55
2412,-100,72,77,382,5,8,65
2412,-100,80,73,386,11,8,63
2412,-100,41,66,392,18,6,59
2412,-100,43,68,391,9,6,59
2412,-100,55,69,389,5,6,57
2412,-100,44,67,391,11,5,56
2412,-100,33,65,394,16,5,57
2412,-100,36,65,393,15,6,53
2412,-100,43,72,386,8,5,57
2412,-100,58,69,390,13,5,59
2412,-100,35,66,393,13,6,53
2412,-100,64,72,387,7,5,60
2412,-100,84,74,384,10,4,61
2412,-100,36,65,393,16,5,53
2412,-100,33,65,394,13,5,55
2412,-100,61,67,391,15,7,58
2412,-100,67,69,389,10,5,60
2412,-100,69,71,387,9,6,60
2412,-100,65,67,391,13,7,56
2412,-100,75,74,384,7,1,56
2412,-100,55,68,390,13,7,58
2412,-100,72,67,391,11,8,56
2412,-100,78,72,387,10,3,59
2412,-100,47,67,392,12,6,57
2412,-100,50,68,391,8,3,56
2412,-100,40,66,392,14,3,54
2412,-100,39,67,392,14,6,55
2412,-100,35,65,393,14,4,52
2412,-100,36,64,395,19,7,55
2412,-100,48,77,381,5,5,58
2412,-100,32,64,394,14,6,55
2412,-100,66,68,390,12,3,56
2412,-100,59,71,388,10,6,59
2417,-95,39,72,381,6,7,56
2417,-95,66,74,379,5,7,59
2417,-95,42,69,385,11,8,59
2417,-95,57,72,381,8,9,59
2417,-95,39,76,378,6,7,55
2417,-95,37,73,380,6,6,56
2417,-95,60,79,375,4,7,63
2417,-95,58,77,377,4,9,63
2417,-95,61,74,380,5,8,60
2417,-95,35,71,383,8,6,55
2417,-95,47,76,378,6,7,61
2417,-95,40,72,381,8,7,56
2417,-95,92,78,376,4,8,60
2417,-95,64,78,375,2,7,63
2417,-95,60,74,380,6,7,59
2417,-95,51,72,382,7,7,56
2417,-95,65,76,378,7,8,61
2417,-95,41,72,382,8,7,56
2417,-95,49,73,381,5,7,59
2417,-95,54,73,381,7,9,61
2417,-95,69,76,378,6,7,60
2417,-95,89,76,377,6,7,63
2417,-95,43,73,381,7,7,58
2417,-95,22,59,394,17,10,47
2417,-95,69,77,377,6,6,61
2417,-95,75,76,377,5,7,61
2417,-95,60,70,383,9,9,60
2417,-95,23,60,393,16,8,48
2417,-95,33,69,384,8,8,56
