freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
2412,-101,47,64,396,19,9,61
2412,-101,63,68,392,16,6,59
2412,-101,56,65,394,16,8,59
2412,-101,40,63,397,20,9,55
2412,-101,44,64,395,16,5,53
2412,-101,71,66,393,15,10,61
2412,-101,64,67,393,13,10,62
2412,-101,30,63,396,18,8,54
2412,-101,49,65,395,19,7,59
2412,-101,46,63,397,21,10,60
2412,-101,39,64,396,16,3,51
2412,-101,36,65,394,15,6,53
2412,-101,66,66,394,16,7,58
2412,-101,92,72,388,7,63,54
2412,-101,65,69,390,10,6,59
2412,-101,67,69,390,10,12,59
2412,-101,43,66,393,14,6,55
2412,-101,40,65,394,15,6,57
2412,-101,50,64,395,17,6,59
2412,-101,78,71,388,9,5,61
2412,-101,59,65,394,17,4,55
2412,-101,33,65,394,14,6,55
2412,-101,28,63,397,18,5,54
2412,-101,36,64,396,17,4,54
2412,-101,46,65,394,15,2,54
2412,-101,31,64,396,16,7,53
2412,-101,50,65,394,17,5,55
2412,-101,52,73,387,10,4,59
2412,-101,33,64,395,16,6,53
2412,-101,48,65,394,14,4,56
2412,-101,30,65,394,16,6,54
2412,-101,64,68,391,10,5,58
2412,-101,37,65,395,13,7,56
2412,-101,50,64,396,22,8,59
2412,-101,47,67,393,15,8,58
2412,-101,43,71,388,11,5,57
2412,-101,85,74,385,9,3,61
2412,-101,30,64,395,15,4,53
2412,-101,69,70,390,10,4,59
2412,-101,35,64,395,17,5,53
2412,-101,54,65,395,17,8,57
2412,-101,30,61,399,22,7,55
2412,-101,74,68,391,15,6,61
2412,-101,34,65,394,15,6,54
2412,-101,29,64,395,16,6,54
2412,-101,52,65,394,16,3,54
2412,-101,46,66,393,12,6,57
2412,-101,67,67,393,15,8,58
2412,-101,38,64,396,18,6,55
2412,-101,35,61,398,21,8,53
2412,-101,69,67,393,15,10,61
2412,-101,35,64,395,15,5,54
2412,-101,56,64,396,16,9,60
2412,-101,25,65,395,18,10,57
2412,-101,40,64,396,18,5,56
2412,-101,30,62,398,19,7,52
2412,-101,33,62,398,20,9,56
2412,-101,29,61,398,20,5,54
2412,-101,77,69,390,15,6,59
2412,-101,78,69,390,14,7,60
2412,-101,57,66,393,14,6,59
2412,-101,35,62,398,20,7,51
2412,-101,85,71,388,13,5,60
2412,-101,36,64,396,17,8,57
2412,-101,66,66,393,12,8,57
2412,-101,55,65,394,16,7,59
2412,-101,46,73,386,8,3,57
2412,-101,108,74,385,9,6,63
2412,-101,73,71,389,12,4,59
2412,-101,100,73,386,11,5,63
2412,-101,28,63,396,17,9,55
2412,-101,51,65,395,14,5,56
2412,-101,41,63,396,17,9,58
2412,-101,115,73,386,11,6,64
2412,-101,29,62,397,18,5,51
2412,-101,66,69,390,10,4,59
2412,-101,35,65,395,20,12,60
2412,-101,30,63,396,18,5,53
2412,-101,51,63,396,21,9,58
2412,-101,84,75,385,9,3,60
2412,-101,85,67,392,14,5,59
2412,-101,50,64,395,15,5,57
2412,-101,66,67,393,18,7,59
2412,-101,35,64,396,19,11,57
2412,-101,85,70,389,13,5,63
2412,-101,39,64,395,19,6,57
2412,-101,36,65,394,14,7,55
2412,-101,98,74,386,12,3,61
2412,-101,30,63,396,17,6,52
2412,-101,74,70,390,13,3,58
2412,-101,124,76,384,9,3,63
2412,-101,45,67,393,16,11,60
2412,-101,33,65,395,15,3,54
2412,-101,78,68,392,14,4,58
2412,-101,88,75,385,10,3,62
2412,-101,75,71,389,10,5,60
2412,-101,65,66,394,17,6,57
2412,-101,43,66,394,14,7,55
2412,-101,35,65,395,15,2,54
2412,-101,39,65,394,12,3,53
2412,-101,42,65,394,16,5,54
2412,-101,62,67,393,13,7,59
2412,-101,40,63,397,19,6,54
2412,-101,61,66,393,11,5,55
2412,-101,138,73,387,7,3,56
2412,-101,41,66,394,17,8,56
2412,-101,35,64,396,17,4,52
2412,-101,63,70,389,13,6,62
2412,-101,40,66,394,16,10,56
2412,-101,47,66,394,15,8,57
2412,-101,38,64,396,18,6,57
2412,-101,144,75,385,8,4,64
2412,-101,50,67,392,12,5,57
2412,-101,40,66,393,11,7,57
2412,-101,37,65,394,16,6,57
2412,-101,61,71,389,8,6,61
2412,-101,45,66,393,18,8,59
2412,-101,31,63,396,15,5,54
2412,-101,29,63,396,19,11,56
2412,-101,33,64,395,14,5,52
2412,-101,66,67,393,15,3,57
2412,-101,31,65,395,15,8,56
2412,-101,83,70,390,13,3,60
2412,-101,38,66,393,13,7,55
2412,-101,91,73,387,9,3,60
2412,-101,90,69,391,13,4,58
2412,-101,30,64,395,15,7,53
2412,-101,33,64,396,14,4,53
2412,-101,37,63,397,19,1,53
2412,-101,64,68,392,10,6,58
2412,-101,57,65,395,14,7,58
2412,-101,53,66,394,18,6,59
2412,-101,40,62,398,21,9,57
2412,-101,69,64,396,19,4,57
2412,-101,29,63,396,17,5,53
2412,-101,48,64,395,19,8,59
2412,-101,43,66,394,14,7,61
2412,-101,51,65,395,15,3,54
2412,-101,34,64,395,13,3,52
2412,-101,39,65,394,15,6,58
2412,-101,57,67,392,9,4,56
2412,-101,99,72,388,11,4,61
2412,-101,46,74,385,8,3,58
2412,-101,34,64,395,14,5,54
2412,-101,44,64,395,16,4,55
2412,-101,36,64,395,14,7,56
2412,-101,34,65,395,15,5,54
2412,-101,38,66,394,9,4,55
2412,-101,44,65,395,15,3,54
2412,-101,80,68,391,16,7,61
2412,-101,72,70,389,9,3,58
2412,-101,57,66,394,16,8,59
2412,-101,64,75,385,7,6,59
2412,-101,34,65,394,15,6,53
2412,-101,61,67,393,13,5,57
2412,-101,42,65,394,15,2,53
2412,-101,112,77,382,8,5,63
2412,-101,83,71,389,13,7,63
2412,-101,53,65,394,14,5,56
2412,-101,68,76,384,8,6,59
2412,-101,35,65,394,16,4,53
2412,-101,96,72,387,9,1,60
2412,-101,108,74,385,8,5,62
2412,-101,43,67,392,13,6,56
2412,-101,69,70,390,12,4,59
2412,-101,28,64,396,18,6,53
2412,-101,76,72,387,12,6,61
2412,-101,33,63,396,16,4,52
2412,-101,99,74,386,10,4,62
2412,-101,68,71,388,12,9,60
2412,-101,54,66,394,10,3,54
2412,-101,89,71,389,13,5,60
2412,-101,49,66,393,15,7,56
2412,-101,78,70,389,12,4,60
2412,-101,51,65,395,16,7,55
2412,-101,49,65,394,11,4,56
2412,-101,48,67,393,15,4,56
2412,-101,81,70,389,8,4,59
2412,-101,88,69,390,11,5,59
2412,-101,60,73,386,12,3,58
2412,-101,56,65,394,15,7,55
2412,-101,89,70,390,10,6,61
2412,-101,75,76,384,7,6,62
2412,-101,36,65,395,14,6,54
2412,-101,60,67,393,9,5,56
2412,-101,66,70,389,13,8,62
2412,-101,45,65,394,16,7,55
2412,-101,82,69,390,15,5,61
2412,-101,40,66,394,15,5,55
2412,-101,54,65,395,17,4,54
2412,-101,22,60,400,22,6,52
2412,-101,102,73,386,12,6,63
2412,-101,60,74,385,9,6,57
2412,-101,86,70,390,11,5,61
2412,-101,79,71,389,13,5,61
2412,-101,40,64,396,18,5,54
2412,-101,52,67,392,10,4,56
2412,-101,25,59,400,22,5,48
2417,-95,71,69,385,10,10,63
2417,-95,64,73,381,8,7,62
2417,-95,82,74,379,7,6,60
2417,-95,25,61,392,16,5,46
2417,-95,29,62,391,16,11,54
2417,-95,61,78,376,3,5,63
2417,-95,30,67,386,10,8,56
2417,-95,53,72,382,7,7,59
2417,-95,75,75,378,5,8,63
2417,-95,66,76,377,5,8,64
2417,-95,49,72,382,7,6,58
2417,-95,36,71,382,6,7,57
2417,-95,34,67,387,12,10,58
2417,-95,26,65,389,12,9,55
2417,-95,44,72,381,8,8,61
2417,-95,37,69,385,7,6,56
2417,-95,62,77,377,4,7,63
2417,-95,45,71,382,7,7,57
2417,-95,56,76,378,5,7,58
2417,-95,59,74,379,5,8,60
2417,-95,81,74,380,7,8,64
2417,-95,59,74,380,7,7,60
2417,-95,51,62,392,15,12,58
2417,-95,35,67,387,10,6,54
2417,-95,20,59,394,17,9,50
2417,-95,44,70,384,9,10,56
2417,-95,45,71,382,7,8,58
2417,-95,49,70,384,7,8,57
2417,-95,33,65,388,12,9,58
2417,-95,37,65,389,13,9,57
2417,-95,61,76,378,4,7,62
2417,-95,35,69,384,7,7,56
2417,-95,41,68,385,6,7,53
2417,-95,22,67,386,11,9,55
2417,-95,29,68,385,9,5,56
2417,-95,75,77,377,4,10,60
2417,-95,40,69,384,8,8,60
2417,-95,35,67,386,10,6,54
2417,-95,56,71,383,7,7,57
2417,-95,37,71,383,8,8,59
2417,-95,54,75,378,4,5,60
2417,-95,46,72,382,6,5,56
2417,-95,24,70,383,5,10,53
2417,-95,29,69,385,9,7,58
2417,-95,46,69,384,9,9,59
2417,-95,65,77,377,5,11,62
2417,-95,33,70,383,8,6,57
2417,-95,49,72,381,6,7,57
2417,-95,33,71,383,7,8,56
2417,-95,55,73,380,5,4,58
2417,-95,43,73,381,5,8,59
2417,-95,74,79,374,3,7,64
2417,-95,24,65,389,14,7,55
2417,-95,29,67,386,10,8,55
2417,-95,65,76,378,5,6,63
2417,-95,82,77,376,5,9,60
2417,-95,19,65,389,11,8,53
2417,-95,59,73,381,7,7,59
2417,-95,48,72,382,6,7,58
2417,-95,33,72,381,7,7,58
2417,-95,45,68,385,11,11,59
2417,-95,67,74,380,5,7,60
2417,-95,85,77,376,5,7,63
2417,-95,57,75,378,5,5,62
2417,-95,42,72,382,6,6,56
2417,-95,41,69,384,7,10,59
2417,-95,80,76,378,5,8,63
2417,-95,43,72,382,5,7,58
2417,-95,79,71,383,9,11,63
2417,-95,29,68,386,11,9,58
2417,-95,29,66,387,12,8,57
2417,-95,26,67,387,12,6,54
2417,-95,33,70,383,9,6,57
2417,-95,27,61,393,16,7,47
2417,-95,23,65,389,12,9,55
2417,-95,57,73,380,5,11,63
2417,-95,46,70,383,9,9,61
2417,-95,39,68,385,7,6,55
2417,-95,45,67,387,6,9,60
2417,-95,53,71,383,7,8,59
2417,-95,46,69,385,7,7,55
2417,-95,44,69,385,11,11,59
