freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5180,-102,20,71,390,9,9,49
5180,-102,22,71,390,7,8,45
5180,-102,26,71,390,5,9,45
5180,-102,33,71,390,5,9,46
5180,-102,29,71,390,4,10,47
5180,-102,28,71,390,5,9,47
5180,-102,27,71,390,5,11,46
5180,-102,27,71,390,4,12,47
5180,-102,29,71,390,3,8,45
5180,-102,23,71,390,7,10,48
5180,-102,23,71,390,6,7,45
5180,-102,23,71,390,5,10,46
5180,-102,22,71,390,7,10,46
5180,-102,27,71,390,7,9,49
5180,-102,25,71,390,8,10,47
5180,-102,24,71,390,4,10,46
5180,-102,21,71,390,5,9,46
5180,-102,20,71,390,6,11,47
5180,-102,28,75,386,5,9,50
5180,-102,28,75,386,7,10,50
5180,-102,26,75,386,6,5,49
5180,-102,31,75,386,4,9,48
5180,-102,27,75,386,5,9,49
5180,-102,27,75,386,5,13,52
5180,-102,28,75,386,5,12,51
5180,-102,20,75,386,4,9,48
5180,-102,24,75,386,5,11,52
5180,-102,25,75,386,6,10,50
5180,-102,18,71,390,5,8,45
5180,-102,22,71,390,5,9,47
5180,-102,23,71,390,8,8,45
5180,-102,28,71,390,5,11,46
5180,-102,24,71,390,6,11,48
5180,-102,18,71,390,6,10,46
5180,-102,23,71,390,5,9,46
5180,-102,21,71,390,5,6,43
5180,-102,22,71,390,5,6,46
5180,-102,23,71,390,5,10,46
5180,-102,21,71,390,6,9,45
5180,-102,23,71,390,6,10,48
5180,-102,26,71,390,6,9,48
5180,-102,29,71,390,4,8,45
5180,-102,20,71,390,6,10,46
5180,-102,17,71,390,5,10,46
5180,-102,26,71,390,4,7,45
5180,-102,28,71,390,7,9,45
5180,-102,25,71,390,5,10,46
5180,-102,23,71,390,7,8,45
5180,-102,24,71,390,5,7,45
5180,-102,22,71,390,6,11,46
5180,-102,21,71,390,6,9,48
5180,-102,23,71,390,4,9,46
5180,-102,19,71,390,4,10,46
5180,-102,23,71,390,6,11,46
5180,-102,23,71,390,4,9,47
5180,-102,19,71,390,5,11,45
5180,-102,20,71,390,5,9,46
5180,-102,20,71,390,6,9,47
5180,-102,18,71,390,5,9,45
5180,-102,26,71,390,6,8,46
5180,-102,25,71,390,6,8,46
5180,-102,24,71,390,10,8,44
5180,-102,18,71,390,5,10,46
5180,-102,19,71,390,5,11,45
5180,-102,30,71,390,5,9,46
5180,-102,22,71,390,5,6,45
5180,-102,25,71,390,5,9,45
5180,-102,29,71,390,5,10,46
5180,-102,28,71,390,5,9,46
5180,-102,25,71,390,5,9,47
5180,-102,22,71,390,6,10,50
5180,-102,22,71,390,5,9,46
5180,-102,17,71,390,7,9,46
5180,-102,21,71,390,4,11,46
5180,-102,22,71,390,5,8,45
5180,-102,22,71,390,6,9,46
5180,-102,28,71,390,5,9,46
5180,-102,26,71,390,7,9,46
5180,-102,22,71,390,6,7,45
5180,-102,20,71,390,7,11,46
5180,-102,17,71,390,8,10,46
5180,-102,20,71,390,7,10,46
5180,-102,25,71,390,6,9,46
5180,-102,27,71,390,4,12,47
5180,-102,24,71,390,5,9,45
5180,-102,23,71,390,6,6,45
5180,-102,14,71,390,5,7,45
5180,-102,24,71,390,4,10,47
5180,-102,28,71,390,7,11,47
5180,-102,26,71,390,5,11,47
5180,-102,30,71,390,5,11,47
5180,-102,28,71,390,5,9,45
5180,-102,20,71,390,4,8,45
5180,-102,24,71,390,7,11,47
5180,-102,25,71,390,6,9,46
5180,-102,17,71,390,5,7,45
5180,-102,26,71,389,7,10,47
5180,-102,25,71,390,4,7,45
5180,-102,28,71,390,4,9,45
5180,-102,26,71,390,5,9,46
5180,-102,29,71,390,7,10,46
5180,-102,28,71,390,6,10,47
5180,-102,19,71,390,4,8,47
5180,-102,31,71,390,4,9,47
5180,-102,26,71,390,5,8,46
5180,-102,24,71,390,5,12,47
5180,-102,26,71,390,6,8,46
5180,-102,29,71,390,6,7,45
5180,-102,30,71,390,6,9,46
5180,-102,29,71,390,6,11,46
5180,-102,25,71,390,7,10,47
5180,-102,25,71,390,5,10,46
5180,-102,29,71,390,6,8,45
5180,-102,24,71,390,6,9,45
5180,-102,26,71,390,5,6,45
5180,-102,27,71,390,4,10,46
5180,-102,26,71,390,5,10,46
5180,-102,28,71,390,5,10,47
5180,-102,23,71,390,5,9,46
5180,-102,27,71,390,5,10,47
5180,-102,23,71,390,4,10,46
5180,-102,26,71,390,6,10,47
5180,-102,27,71,390,4,7,45
5180,-102,27,71,390,5,8,46
5180,-102,27,71,390,5,7,46
5180,-102,27,71,390,8,9,45
5180,-102,26,71,390,7,12,48
5180,-102,19,71,390,4,11,46
5180,-102,30,71,390,6,9,46
5180,-102,27,71,390,5,8,46
5180,-102,23,71,390,4,11,47
5180,-102,26,71,390,4,9,46
5180,-102,31,71,390,6,8,46
5180,-102,30,71,390,5,9,47
5180,-102,19,71,390,4,9,47
5180,-102,27,71,390,5,9,45
5180,-102,17,71,390,6,10,46
5180,-102,18,71,390,7,13,47
5180,-102,21,71,390,5,8,45
5180,-102,28,71,390,5,8,46
5180,-102,24,71,390,5,11,47
5180,-102,21,71,390,6,11,47
5180,-102,18,71,390,6,9,46
5180,-102,22,71,390,5,12,46
5180,-102,25,71,390,10,10,46
5180,-102,28,71,390,5,11,46
5180,-102,27,71,390,5,9,46
5180,-102,30,71,390,5,8,46
5180,-102,26,71,389,5,9,46
5180,-102,23,71,389,5,8,45
5180,-102,20,71,389,6,6,46
5180,-102,23,71,389,4,8,46
5180,-102,21,71,389,5,10,46
5180,-102,31,71,389,5,10,47
5180,-102,20,71,389,5,9,45
5180,-102,23,71,389,5,10,45
5180,-102,19,71,389,5,8,47
5180,-102,25,71,389,7,10,47
5180,-102,20,71,389,7,9,46
5180,-102,24,71,389,5,10,46
5180,-102,27,71,389,5,9,45
5180,-102,20,71,389,5,8,46
5180,-102,25,71,389,6,11,46
5180,-102,21,71,389,5,8,46
5180,-102,23,71,389,4,9,47
5180,-102,28,71,389,6,9,45
5180,-102,23,71,389,5,12,49
5180,-102,30,71,389,6,12,46
5180,-102,25,71,389,4,8,44
5180,-102,16,71,389,6,6,43
5180,-102,26,71,389,4,8,45
5180,-102,26,71,389,6,7,46
5180,-102,26,71,389,6,8,47
5180,-102,20,71,389,5,10,46
5180,-102,20,71,389,5,11,46
5180,-102,27,71,389,5,9,45
5180,-102,22,71,389,7,9,48
5180,-102,26,71,389,6,9,46
5180,-102,25,71,389,5,10,46
5180,-102,20,71,389,6,8,45
5180,-102,23,71,389,5,7,45
5180,-102,24,71,389,6,8,45
5180,-102,24,71,389,3,9,47
5180,-102,22,71,389,4,9,46
5180,-102,28,71,389,6,10,46
5180,-102,22,71,389,4,10,47
5180,-102,25,71,389,6,10,46
5180,-102,20,71,389,6,10,47
5180,-102,23,71,389,5,9,46
5180,-102,32,71,389,6,7,45
5180,-102,29,71,389,6,11,48
5180,-102,24,71,389,5,7,46
5180,-102,27,71,389,9,10,46
5180,-102,27,71,389,4,10,46
5180,-102,24,71,389,6,10,46
5180,-102,29,71,389,5,9,46
5180,-102,30,71,389,5,8,46
5180,-102,25,71,389,7,8,45
5180,-102,21,71,389,6,8,48
5180,-102,27,71,389,6,9,45
5180,-102,24,71,389,5,12,47
5180,-102,22,71,389,6,6,45
5180,-102,21,71,389,5,8,45
5180,-102,23,71,389,7,9,47
5180,-102,29,71,390,6,12,48
5180,-102,26,71,389,5,10,46
5180,-102,20,71,389,6,9,46
5180,-102,28,71,389,6,9,45
5180,-102,24,71,389,9,9,45
5180,-102,23,71,389,5,7,45
5180,-102,23,71,389,5,11,46
5180,-102,25,71,389,5,9,46
5180,-102,26,71,389,5,7,46
5180,-102,32,71,389,6,11,46
5180,-102,26,71,389,4,11,47
5180,-102,32,71,389,5,10,47
5180,-102,28,71,389,5,10,46
5180,-102,24,71,389,6,8,45
5180,-102,23,71,389,5,8,45
5180,-102,22,71,389,5,6,45
5180,-102,23,71,389,6,12,49
5180,-102,30,71,389,6,9,46
5180,-102,29,71,389,7,11,47
5180,-102,24,71,389,5,7,46
5180,-102,23,71,389,7,9,47
5180,-102,26,71,389,4,9,46
5180,-102,20,71,389,5,9,45
5180,-102,20,71,389,6,9,46
5180,-102,24,71,389,5,8,45
5180,-102,26,71,389,4,9,46
5180,-102,27,71,389,5,10,47
5180,-102,31,71,389,7,11,48
5180,-102,29,71,389,5,8,45
5180,-102,23,71,389,6,6,45
5180,-102,28,71,389,5,9,46
5200,-102,31,71,389,8,8,49
5200,-102,29,71,389,7,8,48
5200,-102,31,71,389,9,12,48
5200,-102,22,71,389,7,9,47
5200,-102,18,71,389,8,11,48
5200,-102,23,71,389,6,7,48
5200,-102,33,71,389,7,9,49
5200,-102,35,71,389,8,8,47
5200,-102,32,71,389,10,6,48
5200,-102,33,71,389,8,10,48
5200,-102,23,71,389,7,4,48
5200,-102,30,71,389,-35,8,47
5200,-102,30,71,389,9,7,47
5200,-102,27,71,389,8,7,46
5200,-102,30,71,389,7,9,48
5200,-102,29,71,389,7,7,47
5200,-102,39,71,389,7,10,48
5200,-102,33,71,389,7,7,48
5200,-102,22,71,389,8,7,47
5200,-102,33,71,389,6,9,47
5200,-102,35,71,389,7,8,48
5200,-102,33,71,389,8,12,48
5200,-102,36,71,389,7,8,48
5200,-102,31,71,389,8,11,49
5200,-102,28,71,389,9,6,48
5200,-102,23,71,389,7,6,48
5200,-102,28,71,389,8,8,47
5200,-102,25,71,389,8,6,46
5200,-102,32,71,389,8,11,48
5200,-102,26,71,389,6,7,48
5200,-102,27,71,389,7,12,49
5200,-102,31,71,389,7,10,47
5200,-102,25,71,389,8,10,48
5200,-102,30,71,389,6,10,48
5200,-102,28,71,389,7,6,47
5200,-102,25,71,389,7,9,47
5200,-102,23,71,389,8,7,47
5200,-102,27,71,389,8,11,47
5200,-102,32,71,389,6,7,48
5200,-102,31,71,389,7,10,47
5200,-102,24,71,389,8,8,46
5200,-102,27,71,389,7,10,47
5200,-102,27,71,389,6,10,47
5200,-102,35,71,389,7,6,47
5200,-102,26,71,389,6,11,48
5200,-102,24,71,389,7,6,47
5200,-102,36,71,389,8,10,47
5200,-102,32,71,389,8,7,47
5200,-102,28,71,389,8,9,47
5200,-102,24,71,389,8,8,47
5200,-102,17,71,389,7,5,47
5200,-102,31,71,389,7,11,48
5200,-102,35,71,389,5,6,47
5200,-102,25,71,389,8,11,48
5200,-102,23,71,389,8,8,47
5200,-102,29,71,389,8,10,47
5200,-102,30,71,389,6,8,47
5200,-102,30,71,389,7,8,48
5200,-102,28,71,389,8,8,48
5200,-102,41,71,389,8,7,48
5200,-102,25,71,389,7,9,49
5200,-102,23,71,389,6,7,48
5200,-102,32,71,389,8,12,49
5200,-102,38,71,389,9,8,48
5200,-102,33,71,389,8,10,47
5200,-102,27,71,389,7,10,49
5200,-102,32,71,389,8,8,48
5200,-102,35,71,389,9,9,48
5200,-102,28,71,389,7,5,48
5200,-102,23,71,389,6,11,49
5200,-102,25,71,389,7,3,47
5200,-102,28,71,389,-35,10,48
5200,-102,38,71,389,6,7,48
5200,-102,35,71,389,7,10,48
5200,-102,31,71,389,7,8,49
5200,-102,32,71,389,7,8,47
5200,-102,27,71,389,7,13,48
5200,-102,24,71,389,7,9,48
5200,-102,24,71,389,9,10,48
5200,-102,23,71,389,6,7,47
5200,-102,21,71,389,6,9,49
5200,-102,28,71,389,9,10,47
5200,-102,26,71,389,8,7,47
5200,-102,29,71,389,9,13,49
5200,-102,26,71,389,7,5,47
5200,-102,19,71,389,7,10,47
5200,-102,26,71,389,9,7,47
5200,-102,24,71,389,7,10,47
5200,-102,27,71,389,5,8,47
5200,-102,35,71,389,7,8,48
5200,-102,35,71,389,8,8,47
5200,-102,34,71,389,7,5,46
5200,-102,40,71,389,8,11,48
5200,-102,24,71,389,5,6,48
5200,-102,40,71,389,7,9,47
5200,-102,33,71,389,7,7,47
5200,-102,34,71,389,8,7,47
5200,-102,25,71,389,7,9,48
5200,-102,33,71,389,7,6,48
5200,-102,27,71,389,8,11,48
5200,-102,30,71,389,8,7,47
5200,-102,31,71,389,8,11,48
5200,-102,26,71,389,7,7,49
5200,-102,30,71,389,6,7,47
5200,-102,22,71,389,9,9,48
5200,-102,26,71,389,6,8,47
5200,-102,23,71,389,8,10,48
5200,-102,29,71,389,7,5,48
5200,-102,32,71,389,8,11,47
5200,-102,27,71,389,7,6,46
5200,-102,29,71,389,9,9,50
5200,-102,33,71,389,8,7,48
5200,-102,34,71,389,6,9,48
5200,-102,32,71,389,6,8,47
5200,-102,28,71,389,7,10,49
5200,-102,19,71,389,8,5,47
5200,-102,32,71,389,8,10,48
5200,-102,27,71,389,7,8,49
5200,-102,30,71,389,7,10,47
5200,-102,22,71,389,8,8,47
5200,-102,30,71,389,8,10,48
5200,-102,34,71,389,7,9,48
5200,-102,20,71,389,7,6,47
5200,-102,26,71,389,7,8,47
5200,-102,22,71,389,-35,11,48
5200,-102,36,71,389,7,10,49
5200,-102,25,71,389,8,9,48
5200,-102,36,71,389,7,8,47
5200,-102,27,71,389,8,7,47
5200,-102,27,71,389,7,10,48
5200,-102,22,71,389,7,6,47
5200,-102,31,71,389,9,11,47
5200,-102,39,71,389,8,6,48
5200,-102,32,71,389,6,11,48
5200,-102,38,71,389,7,6,48
5200,-102,28,71,389,7,13,47
5200,-102,28,71,389,9,6,47
5200,-102,29,71,389,9,12,48
5200,-102,25,71,389,6,10,48
5200,-102,24,71,389,6,7,47
5220,-102,119,56,404,14,52,39
5220,-102,99,53,408,36,8,52
5220,-102,107,58,403,17,53,42
5220,-102,151,50,410,19,49,37
5220,-102,136,50,410,18,53,34
5220,-102,83,57,403,26,59,47
5220,-102,110,54,407,35,8,50
5220,-102,128,55,406,9,48,35
5220,-102,141,49,412,21,51,34
5220,-102,118,53,408,14,51,34
5220,-102,94,56,405,32,6,50
5220,-102,110,56,404,31,62,44
5220,-102,136,52,408,15,52,35
5220,-102,126,49,412,21,49,37
5220,-102,110,55,405,10,48,37
5220,-102,131,53,407,35,2,46
5220,-102,91,57,403,24,56,44
5220,-102,128,50,410,19,49,38
5220,-102,112,49,411,19,50,38
5220,-102,103,57,404,19,56,42
5220,-102,119,53,407,36,5,51
5220,-102,109,56,405,9,50,35
5220,-102,91,49,411,19,51,41
5220,-102,112,51,410,17,50,36
5220,-102,77,57,403,28,0,51
5220,-102,103,54,406,34,1,47
5220,-102,125,53,407,12,49,38
5220,-102,128,48,413,20,52,32
5220,-102,101,54,407,13,49,37
5220,-102,76,55,406,34,4,51
5220,-102,107,57,403,28,1,45
5220,-102,109,51,409,17,50,39
5220,-102,115,49,412,20,51,38
5220,-102,132,56,404,12,53,38
5220,-102,106,53,408,36,6,51
5220,-102,128,57,403,17,58,39
5220,-102,108,49,412,20,48,37
5220,-102,119,50,410,18,51,39
5220,-102,107,57,403,24,63,44
5220,-102,124,53,407,35,5,46
5220,-102,102,55,406,9,47,37
5220,-102,135,49,412,19,48,34
5220,-102,97,52,408,15,50,38
5220,-102,75,55,405,32,3,51
5220,-102,94,55,405,31,0,48
5220,-102,116,52,408,15,48,36
5220,-102,134,49,412,20,49,35
5220,-102,120,55,406,9,49,33
5220,-102,129,54,407,35,3,45
5220,-102,95,58,403,24,58,46
5220,-102,98,51,410,18,50,39
5220,-102,105,50,411,20,50,39
5220,-102,86,57,403,19,53,43
5220,-102,110,53,408,36,6,50
5220,-102,131,57,404,11,49,37
5220,-102,112,49,411,20,49,39
5220,-102,108,51,410,17,51,35
5220,-102,71,57,403,29,63,50
5220,-102,111,55,406,34,1,48
5220,-102,120,54,407,12,49,37
5220,-102,144,49,412,20,52,33
5220,-102,102,54,407,13,49,37
5220,-102,94,55,406,34,4,52
5220,-102,98,57,403,28,60,43
5220,-102,107,51,409,17,49,39
5220,-102,125,49,412,20,50,37
5220,-102,131,56,404,13,51,38
5220,-102,103,53,408,36,6,51
5220,-102,136,58,403,19,57,39
5220,-102,132,50,410,19,49,38
5220,-102,133,50,410,18,51,35
5220,-102,101,57,403,25,58,43
5220,-102,115,53,407,35,9,49
5220,-102,102,54,406,10,48,37
5220,-102,132,48,412,20,49,34
5220,-102,120,52,408,16,50,37
5220,-102,76,55,405,32,4,52
5220,-102,104,56,405,31,63,46
5220,-102,134,53,408,15,50,35
5220,-102,135,49,411,20,49,37
5220,-102,123,55,406,9,49,34
5220,-102,126,54,407,35,1,44
5220,-102,94,58,403,24,59,46
5220,-102,123,51,410,18,49,36
5220,-102,122,50,411,19,51,38
5220,-102,105,57,403,20,61,52
5220,-102,113,53,408,36,4,49
5220,-102,131,57,404,11,47,35
5220,-102,102,49,411,19,50,40
5220,-102,128,51,409,17,49,35
5220,-102,82,57,404,29,63,49
5220,-102,112,55,406,33,2,48
5220,-102,124,54,407,12,49,38
5220,-102,124,49,412,20,52,33
5220,-102,90,54,407,13,49,38
5220,-102,87,55,406,34,4,52
5220,-102,106,57,403,28,2,46
5220,-102,109,51,409,17,51,39
5220,-102,100,49,412,20,51,38
5220,-102,114,57,404,15,55,42
5220,-102,107,53,407,36,6,53
5220,-102,123,56,404,14,55,36
5220,-102,129,48,412,20,51,36
5220,-102,91,50,410,17,50,39
5220,-102,105,57,403,26,1,48
5220,-102,77,54,407,35,6,51
5220,-102,108,54,406,10,48,38
5220,-102,125,48,412,20,54,34
5220,-102,85,53,408,14,49,38
5220,-102,125,55,405,33,63,44
5220,-102,80,56,404,30,4,51
5220,-102,93,52,409,17,50,39
5220,-102,116,49,411,19,49,39
5220,-102,128,55,405,10,50,35
5220,-102,122,53,407,36,4,49
5220,-102,122,57,403,22,60,41
5220,-102,124,49,411,19,50,34
5220,-102,119,49,411,19,52,33
5220,-102,118,57,403,21,56,41
5220,-102,109,53,407,36,3,48
5220,-102,112,55,405,9,47,37
5220,-102,104,49,412,20,50,39
5220,-102,92,52,409,16,50,39
5220,-102,95,57,404,29,4,49
5220,-102,124,55,405,33,2,46
5220,-102,118,53,407,13,48,38
5220,-102,136,48,412,20,50,33
5220,-102,110,54,407,12,49,35
5220,-102,87,54,406,34,5,52
5220,-102,96,57,403,27,63,48
5220,-102,121,51,409,18,48,37
