freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
2412,-100,50,47,412,38,21,57
2412,-100,48,47,412,39,18,57
2412,-100,51,47,412,38,21,56
2412,-100,46,47,412,39,17,58
2412,-100,39,47,411,38,22,58
2412,-100,50,47,411,38,19,57
2412,-100,45,47,412,38,22,57
2412,-100,52,47,412,39,25,57
2412,-100,59,46,413,39,20,57
2412,-100,42,47,412,39,17,58
2412,-100,44,47,411,39,24,58
2412,-100,57,47,412,38,15,57
2412,-100,42,47,412,38,25,58
2412,-100,42,47,412,38,21,58
2412,-100,48,47,412,38,25,57
2412,-100,80,48,411,37,19,59
2412,-100,119,64,395,25,10,56
2412,-100,84,69,390,14,6,56
2412,-100,85,67,392,15,5,54
2412,-100,44,69,390,11,4,54
2412,-100,55,71,388,9,3,54
2412,-100,28,67,391,14,7,56
2412,-100,68,46,413,41,13,55
2412,-100,52,46,412,41,15,55
2412,-100,54,46,412,42,13,55
2412,-100,74,46,413,42,14,54
2412,-100,50,45,413,42,10,54
2412,-100,64,46,412,42,12,55
2412,-100,94,62,396,9,59,47
2412,-100,100,61,397,14,62,51
2412,-100,70,62,396,21,9,54
2412,-100,80,55,403,34,16,51
2412,-100,61,53,405,34,16,57
2412,-100,41,52,407,35,21,57
2412,-100,79,53,406,34,20,57
2412,-100,71,51,407,36,20,57
2412,-100,68,54,405,33,18,59
2412,-100,40,57,401,32,17,59
2412,-100,40,53,405,34,20,57
2412,-100,37,56,402,32,19,58
2412,-100,45,56,403,32,20,57
2412,-100,77,64,395,22,8,55
2412,-100,71,63,395,22,9,54
2412,-100,46,71,388,14,9,58
2412,-100,86,72,387,13,12,63
2412,-100,49,65,394,24,14,59
2412,-100,60,72,387,10,7,57
2412,-100,67,72,386,10,7,56
2412,-100,56,73,385,10,5,57
2412,-100,136,58,400,30,13,57
2412,-100,105,64,395,16,2,50
2412,-100,86,60,398,18,63,51
2412,-100,99,59,399,23,4,54
2412,-100,79,65,393,21,4,52
2412,-100,39,63,396,24,13,57
2412,-100,54,75,384,8,7,59
2412,-100,61,74,384,9,6,59
2412,-100,85,73,386,8,5,56
2412,-100,95,73,386,9,3,56
2412,-100,84,74,385,7,0,55
2412,-100,41,76,382,7,4,58
2412,-100,47,71,388,11,4,53
2412,-100,86,75,383,7,4,57
2412,-100,92,72,386,11,4,55
2412,-100,41,71,387,8,2,52
2412,-100,133,64,395,15,7,51
2412,-100,234,71,387,13,3,57
2412,-100,124,63,395,19,5,53
2412,-100,117,65,393,16,6,54
2412,-100,58,74,385,9,4,56
2412,-100,113,66,392,15,4,54
2412,-100,139,64,395,18,5,52
2412,-100,52,73,385,12,5,56
2412,-100,53,74,384,13,3,57
2412,-100,78,68,390,16,5,54
2412,-100,103,66,392,15,1,53
2412,-100,62,71,388,8,62,52
2412,-100,68,72,386,9,1,54
2412,-100,69,73,385,8,0,56
2412,-100,56,74,384,9,3,57
2412,-100,83,75,384,8,3,58
2412,-100,66,70,389,10,63,53
2412,-100,64,73,385,10,1,55
2412,-100,45,73,385,8,2,55
2412,-100,57,73,385,9,2,55
2412,-100,37,72,387,9,1,55
2412,-100,60,74,385,8,3,57
2412,-100,114,69,390,13,4,54
2412,-100,51,74,385,9,3,56
2412,-100,49,74,384,8,3,56
2412,-100,60,74,385,9,2,56
2412,-100,71,70,388,11,3,54
2412,-100,78,69,389,10,4,52
2412,-100,47,72,386,9,3,55
2412,-100,75,76,382,7,3,57
2412,-100,42,73,385,12,4,56
2412,-100,86,69,389,15,3,54
2412,-100,48,74,384,8,1,54
2412,-100,80,76,383,8,4,58
2412,-100,77,76,382,8,4,58
2412,-100,78,75,384,8,3,57
2412,-100,36,73,385,10,3,54
2412,-100,59,74,384,9,3,54
2412,-100,65,75,384,9,2,56
2412,-100,51,73,386,9,5,56
2412,-100,78,74,385,9,5,56
2412,-100,85,75,383,7,6,57
2412,-100,59,73,385,8,2,55
2412,-100,70,73,386,8,3,54
2412,-100,56,72,386,10,0,54
2412,-100,53,75,383,8,2,58
2412,-100,61,73,386,9,2,55
2417,-102,64,49,411,37,20,58
2417,-102,37,48,412,39,20,57
2417,-102,38,49,412,39,17,57
2417,-102,40,49,411,39,15,58
2417,-102,42,49,412,39,16,57
2417,-102,152,63,398,29,11,53
2417,-102,64,79,382,9,11,61
2417,-102,110,72,388,9,2,54
2417,-102,43,56,405,31,14,57
2417,-102,60,79,382,8,9,61
2417,-102,31,77,383,9,6,57
2417,-102,70,72,389,13,6,55
2417,-102,41,77,384,11,9,59
2417,-102,101,74,387,17,10,57
2417,-102,41,70,391,15,12,59
2417,-102,37,75,386,12,5,56
2417,-102,48,77,383,11,9,57
2417,-102,51,78,382,10,11,60
2417,-102,37,75,385,10,9,57
2417,-102,40,78,382,7,9,59
2417,-102,33,77,383,8,8,58
2417,-102,49,77,383,9,10,59
2417,-102,75,71,389,10,2,53
2417,-102,39,76,385,11,8,57
2417,-102,63,72,388,9,1,53
2417,-102,67,75,385,11,11,59
2417,-102,79,74,386,12,9,56
2417,-102,61,78,383,9,11,60
2417,-102,65,77,383,10,4,58
2417,-102,60,75,385,8,6,56
2417,-102,55,77,384,8,7,59
2417,-102,51,76,385,9,3,57
2417,-102,43,75,386,9,5,60
2417,-102,96,75,385,8,2,56
2417,-102,51,77,384,11,5,58
2417,-102,62,75,385,9,3,57
2417,-102,114,62,398,27,8,53
2417,-102,44,76,385,10,3,57
2417,-102,66,75,385,11,9,61
2417,-102,93,63,397,21,8,53
2417,-102,88,59,401,25,5,51
2417,-102,44,77,383,9,4,57
2417,-102,60,77,383,9,4,58
2417,-102,54,79,381,8,9,59
2417,-102,139,61,400,24,11,51
2417,-102,72,57,403,24,10,52
2417,-102,61,63,398,10,11,51
2417,-102,71,69,391,9,7,53
2417,-102,67,69,391,10,13,53
2417,-102,73,69,392,13,4,52
2417,-102,63,69,392,10,2,51
2417,-102,52,69,392,10,5,52
2417,-102,55,69,392,9,5,51
2417,-102,115,65,395,23,7,53
2417,-102,61,69,392,10,3,51
2417,-102,63,69,392,10,4,51
2417,-102,64,69,392,9,2,51
2417,-102,70,69,392,13,5,53
2417,-102,64,69,392,12,6,54
2417,-102,60,69,392,12,4,53
2417,-102,66,69,392,8,3,51
2417,-102,59,69,392,9,4,51
2417,-102,72,69,392,15,9,52
2417,-102,80,69,392,18,13,58
2417,-102,56,69,392,15,8,53
2417,-102,60,69,392,9,9,51
2417,-102,111,69,392,19,13,55
2417,-102,90,68,392,21,12,55
2417,-102,70,62,398,24,7,53
2417,-102,110,64,396,24,14,53
2417,-102,147,66,394,21,12,57
2417,-102,91,64,396,24,4,55
2417,-102,74,66,394,25,13,55
2417,-102,82,69,392,22,17,56
2417,-102,72,66,395,20,2,52
2417,-102,89,71,390,19,11,58
2417,-102,97,69,391,20,9,56
2417,-102,78,68,392,21,9,54
2417,-102,124,69,392,21,12,54
2417,-102,95,69,392,20,12,55
2417,-102,132,64,397,26,18,54
2417,-102,49,76,384,10,12,58
2417,-102,140,71,389,16,17,58
2417,-102,93,72,388,13,11,57
2417,-102,89,71,389,14,10,56
2417,-102,62,77,384,10,11,59
2417,-102,118,75,385,7,4,57
2417,-102,52,73,387,9,3,55
2417,-102,74,74,387,8,2,55
2417,-102,100,75,385,7,0,56
2417,-102,78,71,390,15,4,54
2417,-102,76,74,387,9,2,55
2417,-102,61,70,390,14,2,53
2417,-102,77,73,388,10,2,54
2417,-102,90,69,392,19,7,56
2417,-102,95,68,393,19,6,57
2417,-102,84,73,387,9,3,54
2417,-102,125,67,394,21,5,53
2417,-102,167,67,394,21,6,55
2417,-102,81,68,393,17,4,54
2417,-102,117,67,394,21,17,54
2417,-102,67,74,386,9,4,55
2417,-102,112,76,385,7,6,58
2417,-102,96,65,395,26,6,54
2417,-102,119,65,396,24,8,55
2417,-102,69,74,386,8,1,55
2417,-102,76,74,386,9,4,56
2417,-102,94,74,386,8,1,55
2417,-102,78,73,387,9,3,54
2417,-102,97,74,386,8,4,55
2417,-102,77,73,387,9,4,54
2417,-102,74,75,386,8,2,56
2417,-102,87,73,388,11,5,54
2417,-102,56,74,386,9,2,55
2417,-102,95,74,386,9,6,57
2417,-102,61,74,387,8,0,54
2417,-102,72,79,382,8,12,61
2417,-102,40,77,383,9,8,58
2417,-102,52,77,383,9,11,59
2417,-102,34,73,388,12,12,59
2417,-102,40,74,386,11,7,55
2417,-102,52,76,384,9,6,58
2417,-102,59,71,389,15,2,53
2417,-102,76,75,385,14,7,58
2417,-102,28,75,386,10,4,56
2417,-102,37,76,384,9,5,58
2417,-102,48,77,383,9,5,58
2417,-102,61,73,387,12,8,60
2417,-102,59,77,384,11,8,58
2417,-102,84,66,395,10,59,49
2417,-102,71,65,395,15,62,50
2417,-102,68,70,390,17,10,55
2417,-102,125,50,411,37,10,54
2417,-102,114,49,412,38,20,49
2417,-102,37,75,385,11,8,56
2417,-102,87,69,392,17,12,57
2417,-102,51,75,385,12,8,57
2417,-102,115,71,390,19,12,57
2417,-102,86,71,389,15,9,54
2417,-102,79,74,387,15,9,58
2417,-102,94,68,393,19,11,54
2417,-102,78,72,388,11,5,54
2417,-102,70,75,385,11,11,58
2417,-102,41,76,384,9,10,57
2417,-102,67,74,387,9,8,57
2417,-102,47,74,387,10,12,56
2417,-102,59,74,387,8,11,55
2417,-102,96,72,389,14,11,57
2417,-102,72,72,388,12,7,57
2417,-102,56,74,387,9,7,56
2417,-102,128,74,387,10,12,59
2417,-102,81,63,397,22,11,54
2417,-102,113,63,398,23,10,52
2417,-102,55,73,387,14,13,57
2417,-102,47,74,387,10,7,56
2417,-102,65,74,387,10,9,56
2417,-102,82,73,387,9,63,54
2417,-102,88,70,391,13,5,54
2417,-102,66,70,390,13,8,54
2417,-102,80,62,399,26,13,49
2417,-102,88,62,398,26,9,53
2417,-102,46,79,382,10,10,59
2417,-102,52,75,386,9,4,57
2417,-102,44,72,389,14,9,57
2417,-102,48,77,384,10,9,58
2417,-102,73,78,383,9,5,60
2422,-107,46,52,414,41,7,56
2422,-107,64,52,414,41,7,54
2422,-107,45,52,414,41,8,56
2422,-107,42,52,414,41,7,55
2422,-107,42,52,414,40,9,55
2422,-107,59,51,414,40,5,53
2422,-107,37,51,415,41,9,53
2422,-107,54,52,413,40,10,55
2422,-107,43,51,415,41,8,54
2422,-107,66,53,413,40,4,53
2422,-107,78,72,393,19,13,56
2422,-107,76,65,401,31,7,59
2422,-107,35,57,408,37,11,53
2422,-107,68,57,409,39,13,55
2422,-107,91,70,396,28,14,54
2422,-107,108,60,405,33,12,50
2422,-107,168,72,393,29,14,59
2422,-107,92,70,396,24,12,56
2422,-107,57,66,399,29,9,54
2422,-107,49,80,386,13,12,62
2422,-107,52,67,398,29,10,57
2422,-107,64,67,399,29,10,57
2422,-107,57,59,406,35,15,57
2422,-107,43,65,401,30,9,54
2422,-107,46,78,387,15,9,58
2422,-107,54,66,400,30,10,59
2422,-107,52,64,402,30,11,58
2422,-107,55,67,399,28,9,56
2422,-107,81,66,400,30,9,59
2422,-107,86,65,401,29,10,56
2422,-107,69,64,401,31,9,57
2422,-107,62,65,400,30,10,57
2422,-107,90,60,406,36,11,57
2422,-107,60,59,407,36,15,54
2422,-107,57,63,403,32,9,57
2422,-107,210,70,395,24,9,62
2422,-107,61,65,401,30,8,58
2422,-107,67,62,403,32,10,56
2422,-107,79,66,399,28,9,55
2422,-107,47,64,401,30,13,56
2422,-107,58,64,401,30,8,57
2422,-107,64,63,403,31,11,54
2422,-107,103,63,403,31,8,56
2422,-107,51,69,397,28,7,56
2422,-107,44,64,401,31,8,57
2422,-107,34,60,405,34,9,55
2422,-107,35,63,402,32,9,57
2422,-107,43,63,402,31,7,56
2422,-107,72,67,399,30,6,56
2422,-107,46,65,401,30,9,57
2422,-107,67,66,399,29,6,56
2422,-107,71,66,399,37,11,60
2422,-107,70,60,406,38,8,55
2422,-107,80,69,396,32,10,59
2422,-107,48,59,407,34,5,53
2422,-107,65,60,406,31,8,56
2422,-107,70,62,404,34,13,53
2422,-107,55,63,402,30,8,53
2422,-107,85,62,403,31,9,53
2422,-107,53,63,402,29,10,58
2422,-107,84,64,402,27,9,56
2422,-107,53,66,399,28,9,56
2422,-107,76,65,400,28,11,56
2422,-107,93,69,396,28,8,58
2422,-107,83,72,394,23,10,56
2422,-107,76,71,395,24,13,57
2422,-107,98,70,395,23,14,55
2422,-107,78,68,397,24,12,54
2422,-107,60,77,388,13,10,58
2422,-107,66,74,391,19,9,57
2422,-107,44,77,388,15,9,57
2422,-107,56,80,386,13,13,60
2422,-107,45,78,387,14,10,58
2422,-107,55,80,386,14,11,61
2422,-107,41,76,389,15,11,56
2422,-107,86,68,397,30,15,54
2422,-107,72,67,398,31,10,57
2422,-107,102,76,390,17,14,63
2422,-107,150,70,396,31,14,57
2422,-107,91,69,397,29,16,57
2422,-107,139,72,394,28,16,59
2422,-107,145,70,395,29,16,56
2422,-107,102,68,398,32,12,55
2422,-107,74,50,415,41,5,55
2422,-107,75,50,415,41,3,55
2422,-107,74,50,416,41,5,54
2422,-107,74,47,419,46,10,55
2422,-107,94,48,418,45,6,54
2422,-107,76,47,419,45,6,52
2422,-107,49,47,419,47,11,55
2422,-107,48,47,419,45,8,54
2422,-107,50,49,417,41,4,52
2422,-107,36,49,417,41,5,51
2422,-107,42,71,395,20,13,58
2422,-107,59,78,388,15,10,58
2422,-107,76,73,392,24,13,57
2422,-107,98,72,393,19,14,57
2422,-107,35,79,387,13,10,58
2422,-107,61,68,398,24,5,55
2422,-107,33,60,405,28,1,50
2422,-107,63,63,403,29,1,55
2422,-107,99,65,400,28,11,53
2422,-107,61,74,391,20,9,55
2422,-107,78,74,391,23,13,57
2422,-107,78,74,391,14,11,54
2422,-107,126,69,397,23,10,57
2422,-107,173,79,387,18,13,61
2422,-107,99,76,389,19,9,59
2422,-107,66,74,391,19,6,57
2422,-107,100,51,415,44,14,54
2422,-107,92,50,415,46,18,53
2422,-107,102,51,414,44,20,52
2422,-107,94,51,414,42,14,54
2422,-107,75,49,416,46,16,54
2422,-107,69,49,417,44,9,55
2422,-107,80,75,390,20,11,58
2422,-107,78,66,400,28,10,55
2422,-107,80,74,392,19,13,57
2422,-107,58,65,401,28,7,53
2422,-107,86,64,401,25,10,56
2422,-107,95,54,412,44,14,54
2422,-107,120,54,412,43,15,53
2422,-107,86,51,414,46,16,54
2422,-107,83,52,413,44,14,51
2422,-107,86,51,414,45,13,51
2422,-107,83,51,414,45,13,53
2422,-107,94,49,417,44,17,53
2422,-107,118,48,417,45,15,50
2422,-107,85,65,400,25,10,57
2422,-107,112,60,406,39,9,52
2422,-107,123,59,406,34,12,53
2422,-107,79,64,401,31,8,53
2422,-107,96,66,400,32,9,55
2422,-107,66,64,402,32,10,56
2422,-107,80,71,394,23,5,55
2422,-107,89,72,393,23,6,58
2422,-107,111,68,397,32,5,53
2422,-107,49,74,391,15,2,56
2422,-107,119,64,402,31,6,53
2422,-107,79,67,398,31,4,54
2422,-107,94,68,398,30,4,54
2422,-107,90,64,401,32,9,56
2422,-107,58,62,404,34,10,53
2422,-107,93,65,400,32,7,55
2422,-107,98,65,401,32,6,55
2422,-107,87,63,403,33,10,54
2422,-107,99,59,407,35,11,53
2422,-107,76,59,406,34,8,53
