freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
2412,-105,42,68,395,18,5,54
2412,-105,29,68,395,16,6,53
2412,-105,38,67,396,17,3,52
2412,-105,37,68,395,14,5,54
2412,-105,50,69,394,16,5,54
2412,-105,65,71,392,13,4,55
2412,-105,39,69,394,15,5,55
2412,-105,45,69,395,12,4,55
2412,-105,96,76,388,11,1,57
2412,-105,46,70,394,15,8,57
2412,-105,87,75,388,11,5,60
2412,-105,40,69,395,16,3,54
2412,-105,91,77,387,13,4,62
2412,-105,44,69,395,15,6,55
2412,-105,89,75,389,12,3,60
2412,-105,40,69,394,16,7,55
2412,-105,80,74,390,11,4,59
2412,-105,63,71,393,15,4,57
2412,-105,60,76,387,12,8,56
2412,-105,49,69,395,15,5,56
2412,-105,36,67,397,13,2,53
2412,-105,43,68,395,16,5,55
2412,-105,81,74,389,13,6,59
2412,-105,38,67,396,16,5,54
2412,-105,111,78,385,10,4,63
2412,-105,66,73,390,14,3,59
2412,-105,32,67,396,15,6,53
2412,-105,59,71,392,15,3,57
2412,-105,45,70,393,13,5,56
2412,-105,36,68,396,16,3,53
2412,-105,46,68,395,17,4,54
2412,-105,24,68,395,16,4,49
2412,-105,46,69,395,12,5,55
2412,-105,41,70,393,15,7,56
2412,-105,91,77,387,12,5,62
2412,-105,57,70,394,14,4,56
2412,-105,86,76,388,11,5,61
2412,-105,39,70,394,16,8,57
2412,-105,152,76,388,10,1,57
2412,-105,38,69,394,14,7,55
2412,-105,99,77,387,10,5,63
2412,-105,34,67,396,17,4,53
2412,-105,92,77,387,11,6,62
2412,-105,87,76,387,12,5,61
2412,-105,41,68,395,17,5,53
2412,-105,101,75,388,12,4,60
2412,-105,60,71,393,14,6,57
2412,-105,32,68,395,16,4,54
2412,-105,55,71,393,19,9,61
2412,-105,32,68,396,14,6,54
2412,-105,35,67,396,16,3,53
2412,-105,30,69,395,15,6,55
2412,-105,34,69,395,16,6,55
2412,-105,44,69,395,12,1,55
2412,-105,48,69,394,16,4,54
2412,-105,98,74,390,11,7,61
2412,-105,54,69,395,16,3,54
2412,-105,52,70,393,12,4,55
2412,-105,74,78,386,8,6,60
2412,-105,46,69,394,16,3,55
2412,-105,88,75,388,11,5,60
2412,-105,47,68,395,16,7,55
2412,-105,33,68,395,18,4,53
2412,-105,78,75,388,12,5,61
2412,-105,37,69,395,16,4,54
2412,-105,71,74,390,15,4,60
2412,-105,35,66,397,20,8,56
2412,-105,106,77,387,11,3,61
2412,-105,75,78,385,10,2,58
2412,-105,30,68,395,12,4,54
2412,-105,56,70,393,13,4,56
2412,-105,79,76,387,9,3,60
2412,-105,109,76,387,10,4,62
2412,-105,68,73,391,12,4,58
2412,-105,52,67,396,17,4,53
2412,-105,81,74,390,12,5,60
2412,-105,36,68,395,15,3,54
2412,-105,38,68,396,14,5,54
2412,-105,30,67,397,17,7,53
2412,-105,47,69,394,12,3,55
2412,-105,39,69,395,16,3,55
2412,-105,51,74,389,11,9,54
2412,-105,33,65,398,19,8,55
2412,-105,65,72,391,12,4,58
2412,-105,51,69,395,16,4,55
2412,-105,66,71,393,13,5,59
2412,-105,38,68,395,17,6,54
2412,-105,55,69,394,12,3,54
2412,-105,69,75,388,11,5,60
2412,-105,88,75,388,11,5,60
2412,-105,102,73,390,13,3,59
2412,-105,43,70,394,15,6,56
2412,-105,97,75,388,11,5,61
2412,-105,46,69,395,15,4,55
2412,-105,104,76,388,12,4,61
2412,-105,44,69,395,16,6,56
2412,-105,38,68,395,14,5,54
2412,-105,63,71,393,14,6,57
2412,-105,51,75,389,12,4,56
2412,-105,41,70,394,16,4,55
2412,-105,42,69,395,12,5,56
2412,-105,44,68,395,18,4,55
2412,-105,77,74,390,12,4,60
2412,-105,62,72,391,14,7,58
2412,-105,85,75,388,11,4,61
2412,-105,46,70,394,14,6,57
2412,-105,35,68,395,12,6,54
2412,-105,54,70,393,17,4,56
2412,-105,49,72,391,11,6,54
2412,-105,57,69,395,17,4,55
2412,-105,37,67,396,14,4,53
2412,-105,66,77,386,12,6,61
2412,-105,30,67,396,18,7,53
2412,-105,75,73,391,12,4,59
2412,-105,34,68,395,17,6,53
2412,-105,105,77,386,10,5,64
2412,-105,69,73,390,13,6,59
2412,-105,45,70,393,11,5,57
2412,-105,46,68,395,15,3,54
2412,-105,53,77,386,12,6,60
2412,-105,71,71,392,16,5,58
2412,-105,105,76,387,11,1,61
2412,-105,87,74,389,11,5,59
2412,-105,32,68,395,16,5,54
2412,-105,116,77,387,11,2,61
2412,-105,68,78,385,9,7,59
2412,-105,37,69,395,16,6,55
2412,-105,56,71,392,11,4,57
2412,-105,91,77,387,10,5,63
2412,-105,45,66,397,18,6,52
2412,-105,67,74,390,10,3,59
2412,-105,70,69,395,16,7,57
2412,-105,54,68,396,12,4,55
2412,-105,68,69,395,16,5,56
2412,-105,55,69,395,13,6,54
2412,-105,33,67,397,16,4,52
2412,-105,62,69,395,12,5,55
2412,-105,57,69,395,17,5,55
2412,-105,61,69,395,12,1,50
2412,-105,56,69,395,15,8,54
2412,-105,50,69,395,11,6,55
2412,-105,54,67,396,17,4,53
2412,-105,49,69,395,11,7,55
2412,-105,60,69,395,16,7,54
2412,-105,70,69,395,12,5,56
2412,-105,53,69,395,15,8,55
2412,-105,61,69,395,13,7,55
2412,-105,50,69,395,15,5,54
2412,-105,64,69,395,10,7,50
2412,-105,61,69,395,17,8,55
2412,-105,52,69,395,12,6,57
2412,-105,60,69,395,11,7,55
2412,-105,55,69,395,13,7,55
2412,-105,37,69,395,17,4,54
2412,-105,64,69,395,11,7,55
2412,-105,54,69,395,15,7,54
2412,-105,65,69,395,12,5,55
2412,-105,58,69,395,16,7,55
2412,-105,54,69,395,14,7,53
2412,-105,56,69,395,15,7,55
2412,-105,54,69,395,12,7,56
2412,-105,56,69,395,11,5,50
2412,-105,57,69,395,15,5,55
2412,-105,47,69,395,15,6,54
2412,-105,60,69,395,12,5,56
2412,-105,46,69,395,14,5,53
2412,-105,59,69,395,15,6,56
2412,-105,46,67,397,18,5,53
2412,-105,50,68,395,16,5,53
2412,-105,46,69,395,13,5,55
2412,-105,33,66,397,17,4,53
2412,-105,50,69,395,9,6,50
2412,-105,67,69,395,16,6,55
2412,-105,57,69,395,12,2,55
2412,-105,61,69,395,15,5,55
2412,-105,53,69,395,11,6,55
2412,-105,47,68,396,15,3,53
2412,-105,67,69,395,9,6,56
2412,-105,57,69,395,16,6,55
2412,-105,81,69,395,10,4,55
2412,-105,56,68,396,17,6,54
2412,-105,63,69,395,13,6,50
2412,-105,57,69,395,15,5,56
2412,-105,58,69,395,13,6,55
2412,-105,63,69,395,12,7,55
2412,-105,63,69,395,11,5,55
2412,-105,50,69,395,17,7,54
2412,-105,52,69,395,12,6,54
2412,-105,63,69,395,15,6,54
2412,-105,51,69,395,12,5,54
2412,-105,69,69,395,16,6,54
2412,-105,46,69,395,12,4,55
2412,-105,55,68,395,17,7,54
2412,-105,75,69,395,12,5,55
2412,-105,72,69,395,16,13,61
2412,-105,64,69,395,13,7,56
2412,-105,54,68,396,15,6,53
2412,-105,46,69,395,14,5,54
2412,-105,62,68,396,17,7,54
2412,-105,45,69,395,14,5,54
2412,-105,65,69,395,15,6,55
2412,-105,60,69,395,15,5,56
2417,-95,50,69,385,7,10,53
2417,-95,62,69,385,4,6,52
2417,-95,57,69,385,6,9,52
2417,-95,67,69,385,5,7,53
2417,-95,69,69,385,6,7,51
2417,-95,61,69,385,6,8,53
2417,-95,62,69,385,5,8,52
2417,-95,51,69,385,6,6,52
2417,-95,51,69,385,5,7,52
2417,-95,57,69,385,5,7,52
2417,-95,56,69,385,5,11,50
2417,-95,48,69,385,5,7,53
2417,-95,58,69,385,7,7,53
2417,-95,64,69,385,4,8,53
2417,-95,53,69,385,4,6,52
2417,-95,46,69,385,5,8,52
2417,-95,52,69,385,5,8,52
2417,-95,54,69,385,5,9,52
2417,-95,58,69,385,5,7,53
2417,-95,54,69,385,5,7,52
2417,-95,53,69,385,4,7,52
2417,-95,54,69,385,6,8,52
2417,-95,56,69,385,4,7,52
2417,-95,57,69,385,4,11,50
2417,-95,52,69,385,8,7,53
2417,-95,48,69,385,6,8,52
2417,-95,61,69,385,5,10,51
2417,-95,61,69,385,7,7,52
2417,-95,58,69,385,6,7,52
2417,-95,59,69,385,7,7,52
2417,-95,48,69,385,6,9,52
2417,-95,49,69,385,5,7,52
2417,-95,54,69,385,6,6,53
2417,-95,53,69,385,6,10,54
2417,-95,46,69,385,5,8,52
2417,-95,53,69,385,5,6,52
2417,-95,54,69,385,5,13,51
2417,-95,42,69,385,4,9,52
2417,-95,41,69,385,6,7,52
2417,-95,54,69,385,4,8,53
2417,-95,46,69,385,6,8,52
2417,-95,50,69,385,3,9,53
2417,-95,56,69,385,5,7,52
2417,-95,49,69,385,5,8,52
2417,-95,56,69,385,5,7,52
2417,-95,51,69,385,3,8,53
2417,-95,45,69,385,6,6,51
2417,-95,56,69,385,5,8,52
2417,-95,49,69,385,5,7,51
2417,-95,55,69,385,3,11,51
2417,-95,51,69,385,5,9,52
2417,-95,51,69,385,5,7,51
2417,-95,54,69,385,6,7,53
2417,-95,56,69,385,4,8,53
2417,-95,57,69,385,7,7,51
2417,-95,57,69,385,4,8,53
2417,-95,65,69,385,5,9,52
2417,-95,62,69,385,5,8,53
2417,-95,60,69,385,6,6,52
2417,-95,59,69,385,6,12,51
2417,-95,61,69,385,5,7,52
2417,-95,61,69,385,6,7,53
2417,-95,62,69,385,5,7,53
2417,-95,47,69,385,5,7,52
2417,-95,61,69,385,5,7,52
2417,-95,54,69,385,5,7,52
2417,-95,65,69,385,4,5,51
2417,-95,56,69,385,6,8,53
2417,-95,56,69,385,6,8,52
2417,-95,66,69,385,6,8,51
2417,-95,62,69,385,5,7,53
2417,-95,61,69,385,5,9,53
2417,-95,57,69,385,4,11,50
2417,-95,56,69,385,5,6,52
2417,-95,59,69,385,4,8,53
2417,-95,58,69,385,8,7,52
2417,-95,67,69,385,4,6,52
2417,-95,62,69,385,4,8,52
2417,-95,56,69,385,4,9,52
2417,-95,58,69,385,5,7,51
2417,-95,58,69,385,5,10,53
2417,-95,57,69,385,3,7,52
2417,-95,56,69,385,4,13,51
2417,-95,62,69,385,4,9,52
2417,-95,57,69,385,4,8,53
2417,-95,64,69,385,7,8,52
2417,-95,65,69,385,4,7,52
2417,-95,56,69,385,5,7,53
2417,-95,61,69,385,5,8,53
2417,-95,61,69,385,6,8,52
2417,-95,67,69,385,4,8,54
2417,-95,61,69,385,7,9,53
2417,-95,65,69,385,4,13,50
2417,-95,64,69,385,4,8,52
2417,-95,60,69,385,6,9,53
2417,-95,63,69,385,3,7,51
2417,-95,63,69,385,5,7,53
2417,-95,60,69,385,6,8,52
2417,-95,52,69,385,5,8,53
2417,-95,69,69,385,5,7,53
2417,-95,60,69,385,7,8,53
2417,-95,64,69,385,5,8,52
2417,-95,63,69,385,4,7,52
2417,-95,52,69,385,5,8,53
2417,-95,59,69,385,6,7,52
2417,-95,54,69,385,6,9,50
2417,-95,72,69,385,6,8,53
2417,-95,64,69,385,4,7,52
2417,-95,68,69,385,6,7,52
2417,-95,58,69,385,4,9,53
2417,-95,57,69,385,7,8,53
2417,-95,52,69,385,4,6,52
2417,-95,66,69,385,5,8,52
2417,-95,66,69,385,3,8,53
2417,-95,65,69,385,5,7,51
2417,-95,65,69,385,3,12,50
2417,-95,60,69,385,5,8,52
2417,-95,58,69,385,5,7,52
2417,-95,70,69,385,5,8,55
2417,-95,58,69,385,4,7,53
2417,-95,65,69,385,6,6,52
2417,-95,64,69,385,4,8,53
2417,-95,62,69,385,5,9,53
2417,-95,63,69,385,5,7,53
2417,-95,62,69,385,7,9,52
2417,-95,67,69,385,4,6,52
2417,-95,58,69,385,4,7,52
2417,-95,53,69,385,3,8,52
2417,-95,60,69,385,3,9,50
2417,-95,68,69,385,4,7,52
2417,-95,61,69,385,7,7,52
2417,-95,52,69,385,6,8,52
2417,-95,70,69,385,6,8,52
2417,-95,66,69,385,4,7,53
2417,-95,63,69,385,7,7,53
2417,-95,63,69,385,6,8,53
2417,-95,61,69,385,6,8,52
2417,-95,51,69,385,6,7,52
2417,-95,58,69,385,3,13,51
2417,-95,63,69,385,6,7,52
2417,-95,50,69,385,4,7,51
2417,-95,52,69,385,7,7,53
2417,-95,60,69,385,6,9,53
2417,-95,56,69,385,4,7,51
2417,-95,51,69,385,5,7,51
2417,-95,61,69,385,7,7,51
2417,-95,60,69,385,5,7,52
2417,-95,52,69,385,6,7,52
2417,-95,50,69,385,4,10,50
2417,-95,54,69,385,5,8,52
2417,-95,61,69,385,4,7,52
2417,-95,56,69,385,5,10,52
2417,-95,60,69,385,5,8,52
2417,-95,66,69,385,4,9,52
2417,-95,58,69,385,5,7,53
2417,-95,51,69,385,4,7,51
2417,-95,52,69,385,4,8,53
2417,-95,54,69,385,6,8,52
2417,-95,58,69,385,5,8,52
2417,-95,59,69,385,5,8,51
2417,-95,64,69,385,3,7,53
2417,-95,61,69,385,4,11,50
2417,-95,48,69,385,4,8,53
2417,-95,57,69,385,5,7,52
2417,-95,56,69,385,5,9,53
2417,-95,59,69,385,6,8,52
2417,-95,69,69,385,5,7,53
2417,-95,57,69,385,4,8,52
2417,-95,53,69,385,4,8,52
2417,-95,59,69,385,6,6,52
2417,-95,50,69,385,3,9,54
2417,-95,44,69,385,2,10,49
2417,-95,50,69,385,6,7,52
2417,-95,51,69,385,6,7,53
2417,-95,55,69,385,5,7,53
2417,-95,65,69,385,5,8,53
2417,-95,55,69,385,5,10,53
2417,-95,59,69,385,7,7,51
2417,-95,55,69,385,5,6,51
2417,-95,64,69,385,4,9,53
2417,-95,55,69,385,6,8,53
2417,-95,57,69,385,4,8,53
2417,-95,61,69,385,6,8,53
2417,-95,52,69,385,4,8,52
2417,-95,47,69,385,8,11,54
2417,-95,57,69,385,4,9,53
2417,-95,54,69,385,6,7,52
2417,-95,52,69,385,5,7,52
2417,-95,54,69,385,5,8,52
2417,-95,64,69,385,5,6,53
2417,-95,56,69,385,6,9,53
2417,-95,54,69,385,4,8,53
2417,-95,55,69,385,6,7,52
2417,-95,53,69,385,6,8,53
2417,-95,59,69,385,3,10,49
2417,-95,59,69,385,4,7,53
2417,-95,60,69,385,6,8,51
2417,-95,61,69,385,7,9,53
2417,-95,66,69,385,5,8,53
2417,-95,65,69,385,5,10,54
2417,-95,55,69,385,6,9,52
2417,-95,53,69,385,2,7,53
2417,-95,55,69,385,5,8,53
2417,-95,63,69,385,4,8,52
2417,-95,63,69,385,6,9,50
2417,-95,57,69,385,5,9,53
2417,-95,58,69,385,6,9,52
2417,-95,55,69,385,3,11,50
2417,-95,59,69,385,6,9,52
2417,-95,61,69,385,6,8,53
