freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
2412,-101,47,69,391,14,3,55
2412,-101,36,68,392,12,7,54
2412,-101,73,75,385,8,4,59
2412,-101,70,73,386,9,4,58
2412,-101,54,69,390,14,7,59
2412,-101,42,69,391,12,5,54
2412,-101,74,74,386,9,4,59
2412,-101,48,70,390,10,6,56
2412,-101,57,70,390,10,4,56
2412,-101,51,69,391,13,7,55
2412,-101,68,74,386,8,6,60
2412,-101,77,75,385,8,3,60
2412,-101,106,75,385,9,4,59
2412,-101,130,76,384,5,5,56
2412,-101,101,73,387,10,4,59
2412,-101,85,75,385,6,4,60
2412,-101,52,68,391,14,6,54
2412,-101,67,72,388,10,6,60
2412,-101,40,69,390,10,6,54
2412,-101,49,69,390,10,5,55
2412,-101,58,70,389,11,4,55
2412,-101,57,70,389,9,5,56
2412,-101,68,70,390,10,3,55
2412,-101,71,74,386,8,5,60
2412,-101,73,73,387,11,4,59
2412,-101,42,68,392,13,5,54
2412,-101,63,73,386,9,5,59
2412,-101,56,75,385,6,2,55
2412,-101,40,68,391,14,3,53
2412,-101,98,75,385,9,4,60
2412,-101,33,69,391,12,5,54
2412,-101,93,75,385,8,3,61
2412,-101,64,73,386,11,6,59
2412,-101,34,66,393,15,9,55
2412,-101,57,71,389,12,2,57
2412,-101,42,68,392,9,5,54
2412,-101,44,70,389,12,5,55
2412,-101,71,73,386,8,2,54
2412,-101,42,70,390,12,6,55
2412,-101,37,69,390,10,6,55
2412,-101,106,75,384,7,4,61
2412,-101,35,68,391,14,8,57
2412,-101,50,72,387,6,6,57
2412,-101,47,70,390,11,4,55
2412,-101,58,71,389,10,7,57
2412,-101,52,70,390,10,7,55
2412,-101,62,71,389,9,3,56
2412,-101,44,71,388,11,8,57
2412,-101,73,75,384,8,5,60
2412,-101,57,71,388,10,6,57
2412,-101,55,77,383,7,6,58
2412,-101,82,73,386,9,6,59
2412,-101,37,69,390,11,4,54
2412,-101,97,75,385,8,5,60
2412,-101,34,68,391,14,6,54
2412,-101,75,73,387,10,4,58
2412,-101,40,69,391,12,7,54
2412,-101,61,71,389,13,6,57
2412,-101,49,69,391,14,4,54
2412,-101,76,74,386,8,6,59
2412,-101,42,71,388,8,1,52
2412,-101,58,69,390,12,5,55
2412,-101,47,70,390,10,7,56
2412,-101,77,73,387,7,7,59
2412,-101,47,70,390,8,7,56
2412,-101,37,69,390,11,3,56
2412,-101,31,69,391,10,5,54
2412,-101,46,68,392,13,4,54
2412,-101,42,69,390,12,4,54
2412,-101,45,70,390,11,3,56
2412,-101,57,73,387,10,9,57
2412,-101,47,70,390,12,4,55
2412,-101,54,72,387,7,4,58
2412,-101,126,76,384,9,2,61
2412,-101,42,70,389,10,4,55
2412,-101,35,69,390,11,5,54
2412,-101,40,69,390,10,5,55
2412,-101,59,70,389,9,7,57
2412,-101,49,69,390,11,4,54
2412,-101,49,76,384,7,5,57
2412,-101,38,68,391,12,4,54
2412,-101,54,70,390,12,3,57
2412,-101,36,68,391,12,5,53
2412,-101,70,72,387,9,5,58
2412,-101,38,68,392,12,3,53
2412,-101,46,70,389,10,5,55
2412,-101,46,71,389,11,8,57
2412,-101,92,74,385,8,6,60
2412,-101,86,74,386,10,7,60
2412,-101,65,74,386,8,6,55
2412,-101,39,69,390,11,3,53
2412,-101,49,71,389,11,7,57
2412,-101,41,70,390,13,6,55
2412,-101,58,69,390,11,2,54
2412,-101,32,69,390,10,5,54
2412,-101,60,71,389,11,5,56
2412,-101,70,72,388,8,5,57
2412,-101,44,68,391,15,5,57
2412,-101,44,68,391,10,5,55
2412,-101,110,74,385,7,1,55
2412,-101,47,70,389,10,6,56
2412,-101,54,72,388,8,6,58
2412,-101,78,75,384,8,5,61
2412,-101,58,72,388,8,6,58
2412,-101,50,70,390,11,5,56
2412,-101,45,71,388,9,4,56
2412,-101,35,68,391,13,5,53
2412,-101,74,74,385,8,4,59
2412,-101,49,71,388,9,6,56
2412,-101,59,70,389,12,6,56
2412,-101,54,71,389,10,7,57
2412,-101,34,68,392,12,5,50
2412,-101,74,73,387,8,6,59
2412,-101,58,76,384,8,4,56
2412,-101,65,72,387,9,5,58
2412,-101,43,69,391,12,6,54
2412,-101,99,75,385,9,6,61
2412,-101,52,67,392,12,4,53
2412,-101,68,74,386,10,5,59
2412,-101,51,71,388,10,7,57
2412,-101,78,74,385,7,4,60
2412,-101,56,68,391,17,7,57
2412,-101,40,69,390,10,5,54
2412,-101,73,74,385,8,5,57
