freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5180,-102,45,79,382,9,7,60
5180,-102,34,81,379,7,9,58
5180,-102,57,81,380,8,11,61
5180,-102,37,83,378,8,8,60
5180,-102,38,82,378,8,9,58
5180,-102,35,82,379,8,11,59
5180,-102,40,82,378,7,9,59
5180,-102,64,84,377,7,10,60
5180,-102,39,82,378,8,7,58
5180,-102,24,79,381,9,8,55
5180,-102,31,82,379,8,7,57
5180,-102,58,86,375,8,7,61
5180,-102,34,82,378,6,7,58
5180,-102,39,83,377,8,8,60
5180,-102,49,84,377,8,10,60
5180,-102,41,83,377,8,9,60
5180,-102,53,71,390,9,57,48
5180,-102,68,84,376,6,8,60
5180,-102,40,74,387,15,12,59
5180,-102,73,82,379,9,11,62
5180,-102,86,84,377,6,7,59
5180,-102,52,83,378,10,9,62
5180,-102,36,82,378,8,9,59
5180,-102,42,83,377,8,8,59
5180,-102,36,82,379,7,8,58
5180,-102,44,83,378,8,10,60
5180,-102,30,82,379,8,7,58
5180,-102,32,82,379,7,8,58
5180,-102,36,83,378,7,9,59
5180,-102,32,82,379,8,7,58
5180,-102,54,83,377,7,9,60
5180,-102,85,84,377,9,13,64
5180,-102,31,81,380,8,9,57
5180,-102,40,83,378,7,7,59
5180,-102,41,83,378,7,10,60
5180,-102,31,81,379,8,7,57
5180,-102,76,84,376,7,10,60
5180,-102,57,84,377,8,10,60
5180,-102,46,81,380,9,9,57
5180,-102,28,81,379,7,6,56
5180,-102,60,82,378,7,5,60
5180,-102,60,84,377,7,7,60
5180,-102,51,68,393,14,53,44
5180,-102,65,84,376,8,10,61
5180,-102,65,83,378,7,10,60
5180,-102,42,83,377,8,11,59
5180,-102,38,82,378,7,7,58
5180,-102,42,82,379,8,9,59
5180,-102,33,82,379,8,9,59
5180,-102,44,84,377,7,7,59
5180,-102,52,83,377,7,8,60
5180,-102,72,84,376,8,7,62
5180,-102,91,86,375,7,7,60
5180,-102,60,83,378,8,7,58
5180,-102,43,83,377,7,6,59
5180,-102,52,81,380,8,8,61
5180,-102,39,82,379,7,9,60
5180,-102,43,85,376,6,8,61
5180,-102,32,81,379,8,7,58
5180,-102,35,81,379,8,8,57
5180,-102,30,76,385,12,6,52
5180,-102,33,82,378,7,7,58
5180,-102,36,82,378,6,8,59
5180,-102,54,85,376,7,8,62
5180,-102,26,80,380,8,7,56
5180,-102,42,80,381,10,7,58
5180,-102,62,83,378,7,9,59
5180,-102,69,80,381,8,0,56
5180,-102,57,83,378,7,9,59
5180,-102,34,82,378,6,9,59
5180,-102,51,83,377,10,11,60
5180,-102,40,78,383,12,10,58
5180,-102,51,82,379,7,8,59
5180,-102,39,82,378,8,10,59
5180,-102,54,85,376,6,8,61
5180,-102,28,82,378,8,9,58
5180,-102,37,83,377,7,7,58
5180,-102,72,83,377,7,8,59
5180,-102,52,83,378,7,12,61
5180,-102,40,83,377,7,10,59
5180,-102,67,84,376,7,9,59
5180,-102,37,82,379,8,9,59
5180,-102,73,83,377,8,5,60
5180,-102,45,84,377,7,8,59
5180,-102,28,82,379,7,7,57
5180,-102,75,84,376,7,8,60
5180,-102,38,84,377,7,7,60
5180,-102,26,80,380,8,8,56
5180,-102,63,86,374,7,10,63
5180,-102,34,81,380,8,11,58
5180,-102,41,83,377,7,8,59
5180,-102,64,81,379,8,10,62
5180,-102,40,83,378,7,9,59
5180,-102,45,77,383,8,62,53
5180,-102,51,77,383,8,62,52
5180,-102,69,78,382,7,63,54
5180,-102,27,81,380,8,7,56
5180,-102,40,83,378,7,8,58
5180,-102,57,84,377,6,10,61
5180,-102,38,77,383,9,9,60
5180,-102,51,83,377,7,9,59
5180,-102,58,83,377,7,10,59
5180,-102,36,83,378,8,9,59
5180,-102,57,84,376,8,9,61
5180,-102,50,83,378,6,8,58
5180,-102,49,83,378,8,11,61
5180,-102,58,84,377,7,9,60
5180,-102,16,73,387,12,8,51
5180,-102,39,84,377,8,9,60
5180,-102,42,84,377,8,9,61
5180,-102,34,82,378,8,10,58
5180,-102,61,85,376,6,10,62
5180,-102,41,83,378,8,10,60
5180,-102,39,83,378,7,10,59
5180,-102,41,84,376,7,12,61
5180,-102,86,84,376,6,8,62
5180,-102,38,84,377,6,9,59
5180,-102,32,83,377,7,6,58
5180,-102,67,84,376,7,9,61
5180,-102,31,83,378,9,6,57
5180,-102,36,80,380,9,10,58
5180,-102,37,82,379,8,9,58
5180,-102,43,83,378,7,10,60
5180,-102,59,83,377,8,9,60
5180,-102,30,79,381,10,11,56
5180,-102,41,82,378,8,12,59
5180,-102,38,83,378,8,11,59
5180,-102,41,82,379,7,8,58
5180,-102,60,83,377,8,9,60
5180,-102,42,82,379,7,8,58
5180,-102,73,85,375,7,9,60
5180,-102,43,80,381,8,8,60
5180,-102,79,86,375,9,7,63
5180,-102,73,71,389,11,54,46
5180,-102,45,67,394,13,55,45
5180,-102,50,67,394,14,55,45
5180,-102,96,71,390,10,54,48
5180,-102,75,68,393,14,55,46
5180,-102,74,69,392,16,54,45
5180,-102,86,70,390,10,55,49
5180,-102,87,70,390,13,53,46
5180,-102,73,71,390,13,53,47
5180,-102,66,69,391,15,54,45
5180,-102,40,66,394,14,54,42
5180,-102,77,70,391,11,54,47
5180,-102,66,71,389,10,54,47
5180,-102,48,64,396,18,53,41
5180,-102,56,68,392,11,55,45
5180,-102,77,70,390,13,56,50
5180,-102,70,84,377,7,8,59
5180,-102,30,77,384,14,11,57
5180,-102,61,67,394,12,54,44
5180,-102,81,69,392,13,54,46
5180,-102,35,83,378,7,8,59
5180,-102,76,69,391,11,55,47
5180,-102,71,68,393,11,54,46
5180,-102,54,67,393,13,53,43
5180,-102,97,71,390,10,54,47
5180,-102,75,71,389,10,56,49
5180,-102,38,64,397,15,55,42
5180,-102,37,82,378,9,10,58
5180,-102,37,64,396,15,53,41
5180,-102,42,82,378,6,6,59
5180,-102,33,82,379,9,9,59
5180,-102,90,71,390,10,54,48
5180,-102,117,72,388,13,52,47
5180,-102,68,70,391,16,55,47
5180,-102,63,68,392,9,55,45
5180,-102,64,84,377,7,9,59
5180,-102,43,84,377,7,10,60
5180,-102,56,80,380,9,12,60
5180,-102,51,84,376,8,7,59
5180,-102,39,84,376,7,8,60
5180,-102,51,82,378,7,11,59
5180,-102,41,83,377,7,8,59
5180,-102,20,75,386,9,9,49
5180,-102,43,82,378,6,9,59
5180,-102,46,83,378,8,8,59
5180,-102,64,85,376,7,11,61
5180,-102,37,80,381,8,8,58
5180,-102,27,81,379,9,10,58
5180,-102,39,83,377,8,9,58
