freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5180,-102,26,68,393,6,13,47
5180,-102,30,68,393,8,13,46
5180,-102,33,68,393,8,10,47
5180,-102,34,68,393,9,11,47
5180,-102,27,68,393,5,13,46
5180,-102,33,68,393,8,13,46
5180,-102,23,68,393,7,13,46
5180,-102,33,68,393,7,12,47
5180,-102,31,68,393,7,11,46
5180,-102,31,68,393,8,14,48
5180,-102,27,68,393,7,12,47
5180,-102,34,68,393,8,11,46
5180,-102,30,68,393,6,12,46
5180,-102,33,68,393,7,12,47
5180,-102,24,68,393,6,12,45
5180,-102,34,68,393,7,12,46
5180,-102,32,68,393,8,18,47
5180,-102,24,68,393,7,12,47
5180,-102,20,68,393,4,12,46
5180,-102,34,68,393,6,12,46
5180,-102,31,68,393,7,14,47
5180,-102,27,68,393,6,13,46
5180,-102,38,68,393,7,13,47
5180,-102,33,68,393,7,12,47
5180,-102,32,68,393,6,12,46
5180,-102,24,68,393,6,14,46
5180,-102,27,68,393,7,12,46
5180,-102,31,68,393,7,11,46
5180,-102,27,68,393,6,15,46
5180,-102,27,68,393,8,14,47
5180,-102,27,68,393,7,15,46
5180,-102,25,68,393,7,10,45
5180,-102,29,68,393,6,12,46
5180,-102,26,68,393,7,12,46
5180,-102,34,68,393,8,11,46
5180,-102,29,68,393,8,11,46
5180,-102,26,68,393,4,13,46
5180,-102,22,68,393,8,14,46
5180,-102,30,68,393,8,14,46
5180,-102,43,68,393,11,13,52
5180,-102,32,68,393,7,10,47
5180,-102,26,68,393,7,12,46
5180,-102,29,68,393,7,13,47
5180,-102,37,76,384,10,13,59
5180,-102,39,80,380,9,10,58
5180,-102,36,81,379,8,11,59
5180,-102,38,81,380,7,10,59
5180,-102,29,71,390,11,10,50
5180,-102,46,82,379,7,11,59
5180,-102,47,83,378,7,14,61
5180,-102,46,82,379,7,13,60
5180,-102,28,79,382,8,11,56
5180,-102,28,71,390,13,10,49
5180,-102,38,71,389,6,10,49
5180,-102,35,71,389,8,12,48
5180,-102,29,71,389,6,15,49
5180,-102,33,71,389,8,13,48
5180,-102,36,71,389,8,13,49
5180,-102,34,71,389,8,11,49
5180,-102,27,71,389,7,13,48
5180,-102,31,71,389,6,12,49
5180,-102,37,71,389,8,13,50
5180,-102,31,71,389,6,11,48
5180,-102,28,65,395,15,11,46
5180,-102,35,78,383,7,13,56
5180,-102,32,78,383,6,14,54
5180,-102,25,78,383,6,14,56
5180,-102,41,78,383,8,14,56
5180,-102,37,78,383,7,12,56
5180,-102,43,78,383,8,13,56
5180,-102,42,78,383,7,13,57
5180,-102,42,76,385,10,14,59
5180,-102,27,75,385,10,11,56
5180,-102,28,78,383,8,12,57
5180,-102,23,78,383,7,12,55
5180,-102,36,78,383,8,12,56
5180,-102,43,78,383,8,13,56
5180,-102,37,78,383,7,13,57
5180,-102,38,78,383,7,14,56
5180,-102,36,75,385,6,12,53
5180,-102,47,75,385,7,12,53
5180,-102,35,75,385,8,14,54
5180,-102,42,75,385,6,14,53
5180,-102,39,75,385,6,12,53
5180,-102,24,75,385,7,14,53
5180,-102,32,75,385,6,12,53
5180,-102,35,75,385,13,9,54
5180,-102,33,68,393,5,13,47
5180,-102,32,68,393,8,13,47
5180,-102,31,68,393,6,13,47
5180,-102,40,71,390,10,8,53
5180,-102,29,71,390,8,12,48
5180,-102,34,71,390,6,14,49
5180,-102,38,71,390,7,11,49
5180,-102,32,71,390,6,13,48
5180,-102,32,71,390,8,13,49
5180,-102,34,71,390,6,12,49
5180,-102,27,71,390,6,15,51
5180,-102,32,71,390,6,13,49
5180,-102,29,71,390,6,12,48
5180,-102,28,71,390,6,11,48
5180,-102,32,71,390,7,14,51
5180,-102,34,71,390,8,13,49
5180,-102,31,71,390,7,13,48
5180,-102,36,71,390,7,14,50
5180,-102,33,71,390,8,11,48
5180,-102,35,71,390,6,14,49
5180,-102,29,65,396,8,13,46
5180,-102,33,71,389,5,12,48
5180,-102,34,71,389,8,13,49
5180,-102,37,71,389,8,12,48
5180,-102,26,71,389,5,14,49
5180,-102,36,71,389,7,14,49
5180,-102,38,71,389,7,17,51
5180,-102,28,71,389,7,15,49
5180,-102,25,71,389,7,13,49
5180,-102,25,71,389,6,13,50
5180,-102,32,71,389,7,13,49
5180,-102,32,71,389,8,2,48
5180,-102,28,71,389,7,2,49
5180,-102,27,71,389,7,2,48
5180,-102,25,71,389,8,11,48
5180,-102,31,71,389,6,11,50
5180,-102,38,71,389,12,12,51
5180,-102,39,81,379,7,12,59
5180,-102,26,80,381,8,13,55
5180,-102,49,81,379,7,11,59
5180,-102,64,81,379,4,15,60
5180,-102,47,81,379,6,13,60
5180,-102,30,80,381,9,11,56
5180,-102,42,81,379,6,11,57
5180,-102,37,81,380,7,14,58
5180,-102,50,81,379,6,10,58
5180,-102,55,81,379,6,12,58
5180,-102,51,81,379,6,15,59
5180,-102,39,81,380,9,11,57
5180,-102,40,80,380,7,13,57
5180,-102,41,81,379,6,13,58
5180,-102,55,84,377,5,13,60
5180,-102,52,84,377,6,11,61
5180,-102,34,81,380,8,11,58
5180,-102,43,81,379,7,12,60
5180,-102,32,80,380,9,14,58
5180,-102,29,78,382,9,13,57
5180,-102,38,81,380,7,13,59
5180,-102,56,83,377,6,14,61
5180,-102,46,83,377,6,14,61
5180,-102,66,84,377,6,10,61
5180,-102,52,82,378,6,15,61
5180,-102,39,83,378,6,12,60
5180,-102,43,81,379,8,13,59
5180,-102,49,83,377,5,13,60
5180,-102,49,83,378,6,11,62
5180,-102,39,83,378,6,13,60
5180,-102,39,79,381,9,12,57
5180,-102,33,79,381,8,11,58
5180,-102,54,81,379,7,12,58
5180,-102,48,80,380,8,14,57
5180,-102,65,79,382,9,13,61
5180,-102,58,83,377,6,12,59
5180,-102,47,82,378,6,12,60
5180,-102,47,80,381,8,12,59
5180,-102,49,83,378,7,12,60
5180,-102,28,80,380,7,12,57
5180,-102,32,79,381,9,13,57
5180,-102,43,80,380,9,13,59
5180,-102,30,81,380,7,13,58
5180,-102,45,83,378,7,13,61
5180,-102,41,80,380,8,13,59
5180,-102,47,82,378,6,12,60
5180,-102,49,84,377,6,12,60
5180,-102,38,82,379,7,13,59
5180,-102,30,68,393,20,12,48
5180,-102,31,71,390,5,15,48
5180,-102,21,71,390,6,14,50
5180,-102,28,71,390,7,12,48
5180,-102,29,71,390,7,13,48
5180,-102,34,71,390,5,13,49
