freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5180,-105,58,87,376,5,11,59
5180,-105,48,86,377,5,10,58
5180,-105,41,87,377,6,9,58
5180,-105,51,87,377,4,9,59
5180,-105,49,88,375,4,8,59
5180,-105,63,87,377,5,10,58
5180,-105,39,87,377,6,9,58
5180,-105,100,90,374,3,9,61
5180,-105,54,87,377,6,9,59
5180,-105,42,85,378,6,9,57
5180,-105,70,87,376,4,9,59
5180,-105,59,88,376,5,10,60
5180,-105,79,87,376,6,8,58
5180,-105,68,87,376,5,10,59
5180,-105,50,86,377,7,10,58
5180,-105,63,88,375,4,8,59
5180,-105,51,88,375,4,10,59
5180,-105,49,87,376,5,9,58
5180,-105,78,89,375,5,9,61
5180,-105,52,86,378,5,7,57
5180,-105,52,87,376,6,9,58
5180,-105,58,87,377,5,7,59
5180,-105,35,86,377,6,9,57
5180,-105,55,88,376,2,10,59
5180,-105,46,87,376,5,9,59
5180,-105,55,86,378,6,7,56
5180,-105,50,88,376,5,8,59
5180,-105,51,87,376,6,8,58
5180,-105,54,87,376,5,9,58
5180,-105,53,87,376,5,8,58
5180,-105,57,86,377,5,9,57
5180,-105,54,87,376,5,10,59
5180,-105,62,89,375,3,9,59
5180,-105,32,85,379,7,8,56
5180,-105,40,82,382,17,10,58
5180,-105,68,84,380,4,9,56
5180,-105,48,87,377,5,9,59
5180,-105,47,86,377,5,8,57
5180,-105,44,83,381,16,10,59
5180,-105,44,82,381,14,8,58
5180,-105,56,87,377,6,9,58
5180,-105,52,88,376,6,9,59
5180,-105,46,87,377,6,9,59
5180,-105,36,88,375,5,9,59
5180,-105,70,86,378,7,9,57
5180,-105,57,87,376,6,8,58
5180,-105,80,88,375,4,8,60
5180,-105,48,88,376,5,10,59
5180,-105,81,87,377,4,9,58
5180,-105,45,86,377,5,9,58
5180,-105,63,87,377,5,10,59
5180,-105,34,86,377,5,8,57
5180,-105,48,85,378,5,8,57
