freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5180,-102,58,76,385,11,8,60
5180,-102,53,73,388,13,63,56
5180,-102,33,70,391,15,60,50
5180,-102,55,84,377,7,10,61
5180,-102,39,84,377,7,10,59
5180,-102,33,82,378,7,9,58
5180,-102,53,85,376,7,9,60
5180,-102,53,84,377,7,10,59
5180,-102,43,83,377,6,10,59
5180,-102,42,83,378,8,8,60
5180,-102,39,83,377,8,7,59
5180,-102,46,83,377,7,10,60
5180,-102,39,83,377,7,12,59
5180,-102,66,81,379,9,12,62
5180,-102,43,84,377,8,9,60
5180,-102,45,84,376,6,8,59
5180,-102,47,83,377,7,8,59
5180,-102,40,82,379,8,9,58
5180,-102,37,81,380,7,9,58
5180,-102,38,83,378,8,6,57
5180,-102,36,82,379,8,9,58
5180,-102,46,84,376,7,8,60
5180,-102,21,78,383,8,9,54
5180,-102,35,81,379,7,8,58
5180,-102,48,83,377,8,8,60
5180,-102,37,82,378,9,9,58
5180,-102,39,83,377,7,9,59
5180,-102,80,85,376,6,10,62
5180,-102,34,82,379,8,10,58
5180,-102,40,82,378,7,9,59
5180,-102,68,83,377,8,13,62
5180,-102,42,84,376,5,9,60
5180,-102,34,83,378,9,8,59
5180,-102,53,84,377,7,8,60
5180,-102,34,83,378,7,8,59
5180,-102,48,83,377,7,11,60
5180,-102,61,83,378,7,8,58
5180,-102,42,82,379,8,11,57
5180,-102,55,75,386,10,59,51
5180,-102,36,82,379,8,9,58
5180,-102,69,74,387,14,56,50
5180,-102,60,73,387,12,55,48
5180,-102,39,83,378,6,7,59
5180,-102,32,81,380,8,7,58
5180,-102,30,78,383,10,8,56
5180,-102,35,82,379,8,6,57
5180,-102,72,75,386,14,57,52
5180,-102,67,73,388,13,56,49
5180,-102,56,81,379,6,10,57
5180,-102,78,81,379,7,6,57
5180,-102,37,82,379,7,5,58
5180,-102,42,83,378,7,6,59
5180,-102,42,71,389,15,55,47
5180,-102,57,72,388,14,56,48
5180,-102,83,75,386,15,56,51
5180,-102,42,83,377,6,5,58
5180,-102,24,75,386,13,5,54
5180,-102,46,83,378,7,6,58
5180,-102,70,78,382,9,59,54
5180,-102,46,83,378,9,6,58
5180,-102,45,82,378,7,6,59
5180,-102,36,82,378,7,6,58
5180,-102,50,83,378,7,8,59
5180,-102,43,83,377,6,10,60
5180,-102,33,80,381,9,12,59
5180,-102,29,81,380,8,9,57
5180,-102,39,82,378,8,9,59
5180,-102,38,82,378,8,9,59
5180,-102,46,85,376,8,9,61
5180,-102,35,83,377,7,8,59
5180,-102,38,84,377,7,9,60
5180,-102,38,83,378,7,8,58
5180,-102,36,83,378,8,10,60
5180,-102,56,85,375,6,9,61
5180,-102,35,82,378,9,4,59
5180,-102,40,83,378,7,8,59
5180,-102,45,83,377,8,10,59
5180,-102,23,79,382,10,8,55
5180,-102,58,85,376,6,5,61
5180,-102,33,81,380,8,5,57
5180,-102,54,83,377,8,6,60
5180,-102,39,82,379,8,9,60
5180,-102,41,83,377,8,10,59
5180,-102,38,83,377,7,8,59
5180,-102,48,86,374,6,10,62
5180,-102,43,84,376,8,7,60
5180,-102,35,81,379,9,10,58
5180,-102,41,82,379,7,9,59
5180,-102,39,82,378,8,10,58
5180,-102,70,85,376,8,12,63
5180,-102,54,84,376,7,9,61
5180,-102,46,83,378,9,8,59
5180,-102,40,83,378,7,8,59
5180,-102,44,84,377,8,10,61
5180,-102,44,82,379,9,8,59
5180,-102,39,84,377,8,6,59
5180,-102,30,82,378,7,6,57
5180,-102,39,83,377,7,8,58
5180,-102,52,83,377,10,9,58
5180,-102,34,81,379,9,8,57
5180,-102,36,83,378,7,9,59
5180,-102,34,82,378,7,8,59
5180,-102,22,78,383,13,9,54
5180,-102,40,81,379,9,10,57
5180,-102,41,82,379,8,9,59
5180,-102,36,82,379,8,9,58
5180,-102,77,84,376,7,8,62
5180,-102,35,83,378,8,9,60
5180,-102,44,84,376,8,9,59
5180,-102,38,81,379,8,10,57
5180,-102,55,85,376,5,6,61
5180,-102,29,83,378,6,9,59
5180,-102,43,84,377,7,9,61
5180,-102,35,83,378,7,9,59
5180,-102,28,81,379,8,9,57
5180,-102,35,81,380,9,9,57
5180,-102,44,84,377,7,9,60
5180,-102,25,81,379,8,9,56
5180,-102,35,83,377,7,7,59
5180,-102,17,74,387,12,10,50
5180,-102,47,80,380,7,8,59
5180,-102,41,83,378,8,10,59
5180,-102,47,83,377,8,9,59
5180,-102,30,81,379,7,8,57
5180,-102,32,83,378,7,7,58
5180,-102,40,84,377,9,9,60
5180,-102,34,83,378,8,10,59
5180,-102,48,83,377,7,8,59
5180,-102,29,81,379,8,8,57
5180,-102,45,83,377,8,10,59
5180,-102,40,81,379,7,9,57
5180,-102,32,82,378,7,11,58
5180,-102,43,79,382,9,7,59
5180,-102,72,84,377,6,9,59
5180,-102,29,82,378,8,9,58
5180,-102,38,82,378,7,8,59
5180,-102,47,85,376,8,9,61
5180,-102,48,84,376,6,7,60
5180,-102,44,84,377,7,9,60
5180,-102,88,85,376,8,10,63
