freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5180,-102,21,78,382,7,9,55
5180,-102,39,78,382,5,11,58
5180,-102,34,78,382,5,14,55
5180,-102,38,78,382,8,15,57
5180,-102,45,78,382,7,16,57
5180,-102,22,78,382,7,10,56
5180,-102,31,78,382,6,12,55
5180,-102,44,78,382,7,13,56
5180,-102,31,78,382,8,11,56
5180,-102,49,78,382,7,13,56
5180,-102,30,78,382,6,11,56
5180,-102,30,78,382,7,11,55
5180,-102,43,78,382,6,14,56
5180,-102,38,78,382,7,13,56
5180,-102,49,78,382,9,13,56
5180,-102,32,78,382,7,13,55
5180,-102,46,78,382,7,12,55
5180,-102,47,78,382,8,13,56
5180,-102,24,78,382,7,10,55
5180,-102,33,78,382,8,12,56
5180,-102,32,78,382,8,12,56
5180,-102,30,78,382,8,12,55
5180,-102,26,78,382,6,14,55
5180,-102,54,78,382,6,14,56
5180,-102,34,74,386,11,13,56
5180,-102,22,78,382,6,12,55
5180,-102,36,78,382,8,13,55
5180,-102,32,78,382,7,13,55
5180,-102,30,78,382,7,13,56
5180,-102,33,78,382,6,14,56
5180,-102,42,78,382,6,15,57
5180,-102,37,78,382,6,11,57
5180,-102,30,78,382,7,12,56
5180,-102,38,78,382,8,15,57
5180,-102,39,78,382,8,12,56
5180,-102,42,75,386,9,11,53
5180,-102,25,75,386,8,13,53
5180,-102,47,75,386,8,11,53
5180,-102,31,65,396,8,12,44
5180,-102,31,68,392,7,11,46
5180,-102,33,68,392,7,13,47
5180,-102,35,68,392,7,15,47
5180,-102,42,68,392,12,14,51
5180,-102,37,68,392,11,14,51
5180,-102,46,77,384,10,12,59
5180,-102,44,80,381,9,13,59
5180,-102,53,78,382,8,14,60
5180,-102,35,82,378,7,13,59
5180,-102,33,82,379,8,11,58
5180,-102,42,81,379,7,11,60
5180,-102,64,82,378,7,12,58
5180,-102,34,80,381,7,12,57
5180,-102,58,81,379,9,12,61
5180,-102,33,81,380,7,12,58
5180,-102,36,79,381,10,14,59
5180,-102,50,79,382,10,16,59
5180,-102,45,83,378,6,12,60
5180,-102,52,82,379,6,14,59
5180,-102,37,80,381,9,10,57
5180,-102,29,80,380,9,12,57
5180,-102,28,81,379,7,11,57
5180,-102,36,81,379,7,13,58
5180,-102,43,81,379,10,12,59
5180,-102,39,80,380,7,11,57
5180,-102,79,84,376,5,13,61
5180,-102,49,80,381,9,12,58
5180,-102,42,82,378,6,14,60
5180,-102,72,83,377,5,11,60
5180,-102,40,80,380,8,12,59
5180,-102,36,80,380,7,12,59
5180,-102,38,82,379,7,12,59
5180,-102,39,81,379,7,14,59
5180,-102,29,78,382,9,12,57
5180,-102,37,68,392,9,15,50
5180,-102,31,68,392,7,13,47
5180,-102,26,68,392,7,13,47
5180,-102,35,68,392,7,15,47
5180,-102,36,68,392,8,12,46
5180,-102,36,68,392,6,16,46
5180,-102,31,68,392,8,15,47
5180,-102,36,71,389,7,14,49
5180,-102,27,71,389,7,14,48
5180,-102,36,71,389,7,13,49
5180,-102,32,71,389,7,12,48
5180,-102,36,71,389,7,13,49
5180,-102,38,71,389,6,12,49
5180,-102,22,71,389,7,12,48
5180,-102,31,71,389,6,13,49
5180,-102,30,71,389,7,13,49
5180,-102,34,71,389,7,11,49
5180,-102,29,71,389,7,12,49
5180,-102,37,71,389,7,16,53
5180,-102,29,71,389,7,11,49
5180,-102,32,71,389,8,13,48
5180,-102,31,71,389,7,12,48
5180,-102,31,71,389,6,13,49
5180,-102,33,71,389,7,14,51
5180,-102,29,71,389,6,13,49
5180,-102,29,71,389,8,12,49
5180,-102,21,71,389,8,11,49
5180,-102,30,71,389,7,12,49
5180,-102,32,71,389,6,14,49
5180,-102,39,71,389,7,13,48
5180,-102,32,71,389,7,13,48
5180,-102,35,71,389,9,13,50
5180,-102,28,71,389,7,14,49
5180,-102,34,71,389,7,13,49
5180,-102,34,71,389,8,13,49
5180,-102,37,71,389,6,13,49
5180,-102,31,71,389,5,15,49
5180,-102,31,71,389,8,13,49
5180,-102,33,71,389,5,11,49
5180,-102,36,71,389,8,13,49
5180,-102,43,71,389,8,11,49
5180,-102,38,68,392,7,14,48
5180,-102,36,68,392,7,14,45
5180,-102,35,68,392,8,13,47
5180,-102,40,68,392,7,12,46
5180,-102,27,68,392,8,14,46
5180,-102,29,68,392,8,14,46
5180,-102,35,68,392,8,14,48
5180,-102,35,68,392,6,11,46
5180,-102,34,68,392,6,12,46
5180,-102,32,68,392,8,13,46
5180,-102,25,68,392,7,10,45
5180,-102,36,68,392,7,12,45
5180,-102,30,68,392,6,14,47
5180,-102,81,78,383,-23,9,62
5180,-102,29,75,386,7,14,53
5180,-102,34,71,390,8,11,49
5180,-102,30,68,392,7,11,46
5180,-102,28,68,392,7,13,46
5180,-102,26,68,392,6,12,46
5180,-102,32,68,392,8,16,50
5180,-102,27,71,390,8,13,49
5180,-102,27,75,386,7,12,53
5180,-102,41,81,379,7,13,58
5180,-102,53,81,379,6,12,59
5180,-102,42,81,379,6,11,59
5180,-102,43,81,379,7,15,59
5180,-102,30,81,379,6,13,58
5180,-102,34,80,380,7,12,57
5180,-102,45,82,378,7,14,60
5180,-102,60,81,379,7,16,61
5180,-102,33,81,379,7,11,59
5180,-102,43,82,379,5,12,59
5180,-102,53,83,378,7,13,60
5180,-102,48,81,379,7,12,59
5180,-102,51,83,377,5,16,61
5180,-102,39,81,379,8,12,59
5180,-102,33,80,381,8,11,57
5180,-102,46,80,381,8,13,58
5180,-102,39,82,379,7,13,60
5180,-102,38,81,380,8,11,59
5180,-102,41,80,380,8,11,57
5180,-102,38,80,380,8,11,59
5180,-102,37,75,385,21,9,57
5180,-102,32,71,390,6,13,49
5180,-102,29,71,390,6,13,48
5180,-102,38,71,390,9,11,49
5180,-102,36,71,390,6,12,48
5180,-102,38,71,390,6,14,50
5180,-102,26,71,390,5,11,49
5180,-102,31,71,390,8,13,49
5180,-102,28,71,390,6,12,49
5180,-102,68,83,377,7,12,60
5180,-102,33,80,380,9,14,57
5180,-102,47,81,379,7,13,60
5180,-102,46,81,380,7,13,59
5180,-102,37,65,396,6,15,45
5180,-102,36,71,389,9,14,49
5180,-102,35,75,385,8,11,53
5180,-102,42,75,385,8,14,53
5180,-102,31,75,385,7,13,53
5180,-102,32,75,385,8,13,55
5180,-102,36,75,385,7,14,54
5180,-102,26,75,385,6,12,53
5180,-102,37,75,385,8,15,53
5180,-102,27,75,385,8,14,55
5180,-102,25,75,385,8,13,53
5180,-102,25,75,385,6,13,53
5180,-102,24,75,385,6,13,53
5180,-102,32,75,385,7,14,54
5180,-102,32,75,385,6,13,52
5180,-102,34,75,385,7,13,53
5180,-102,35,75,385,7,13,53
5180,-102,28,75,385,6,12,53
5180,-102,48,75,385,7,16,54
5180,-102,35,75,385,8,12,54
5180,-102,35,75,385,7,14,52
5180,-102,28,75,385,7,11,53
5180,-102,31,75,385,7,12,53
5180,-102,27,75,385,7,13,53
5180,-102,25,75,385,8,12,53
5180,-102,25,75,385,6,14,53
5180,-102,24,75,385,7,14,53
5180,-102,37,75,385,8,12,52
5180,-102,30,75,385,8,13,53
5180,-102,48,75,385,7,17,55
5180,-102,29,75,385,8,13,53
5180,-102,32,75,385,7,12,52
5180,-102,31,75,385,8,13,52
5180,-102,34,75,385,7,13,52
5180,-102,35,75,385,7,11,52
5180,-102,40,75,385,8,13,54
5180,-102,32,75,385,8,14,53
5180,-102,33,71,389,7,14,49
5180,-102,30,71,389,7,13,49
5180,-102,28,71,389,6,12,48
5180,-102,30,71,389,7,12,48
5180,-102,31,68,392,7,11,46
5180,-102,31,68,392,8,11,46
5180,-102,32,68,392,8,12,46
5180,-102,32,65,395,7,15,45
5180,-102,31,71,389,7,9,49
5180,-102,28,71,389,5,12,48
5180,-102,29,71,389,6,13,49
5180,-102,29,71,389,7,14,49
5180,-102,28,71,389,5,15,49
5180,-102,35,71,389,6,13,49
5180,-102,30,71,389,7,12,48
5180,-102,34,71,389,8,13,49
5180,-102,34,71,389,7,13,48
5180,-102,29,71,389,6,11,48
5180,-102,31,71,389,6,13,48
5180,-102,32,71,389,6,13,49
5180,-102,34,71,389,7,13,50
5180,-102,32,71,389,6,14,50
5180,-102,35,71,389,8,14,50
5180,-102,28,71,389,7,13,48
5180,-102,31,68,392,8,11,46
5180,-102,32,68,393,7,12,46
5180,-102,38,68,393,6,10,45
5180,-102,24,68,393,7,14,45
5180,-102,36,68,393,9,12,46
5180,-102,32,65,395,7,14,45
5180,-102,34,71,389,8,15,50
5180,-102,27,71,389,10,14,51
5180,-102,32,71,389,10,13,48
5180,-102,33,71,389,6,13,49
5180,-102,31,71,389,7,10,48
5180,-102,33,71,389,7,13,48
5180,-102,26,71,389,7,11,48
5180,-102,25,71,389,7,13,49
5180,-102,42,71,389,6,12,50
5180,-102,31,71,389,7,11,48
5180,-102,26,71,389,12,6,50
5180,-102,28,71,389,8,12,48
5180,-102,34,71,389,7,14,49
5180,-102,33,71,389,7,10,49
5180,-102,33,71,389,7,10,48
5180,-102,24,71,389,6,13,49
5180,-102,30,71,389,7,11,48
5180,-102,37,71,389,6,12,49
5180,-102,31,71,389,6,11,49
5180,-102,28,71,389,8,14,50
5180,-102,33,71,389,7,12,48
5180,-102,30,71,389,8,14,49
5180,-102,31,71,389,7,12,48
5180,-102,32,71,389,8,16,50
5180,-102,27,71,389,7,12,49
5180,-102,29,68,392,7,17,48
5180,-102,29,68,392,7,14,47
5180,-102,26,68,392,6,12,46
5180,-102,33,68,392,6,13,47
5180,-102,21,68,392,7,16,48
5180,-102,28,75,385,7,13,52
5180,-102,27,75,385,8,13,52
5180,-102,35,75,385,7,12,53
5180,-102,40,75,385,8,12,53
5180,-102,31,75,385,6,12,52
5180,-102,36,75,385,6,12,53
5180,-102,41,75,385,6,13,53
5180,-102,43,75,385,6,13,53
5180,-102,31,75,385,9,12,53
5180,-102,32,75,385,8,13,53
5180,-102,40,75,385,7,14,53
5180,-102,31,68,393,6,10,46
5180,-102,34,68,393,8,10,46
5180,-102,28,68,392,8,12,46
5180,-102,30,68,392,7,13,46
5180,-102,31,68,392,8,13,47
5180,-102,35,68,392,8,13,46
5180,-102,35,68,392,7,12,46
5180,-102,30,68,392,6,12,47
5180,-102,32,71,390,9,13,50
5180,-102,29,68,393,7,13,46
5180,-102,28,71,389,8,14,49
5180,-102,30,71,389,8,13,49
5180,-102,27,71,389,6,12,48
5180,-102,38,71,389,8,15,49
5180,-102,33,71,389,7,12,49
5180,-102,29,71,389,8,12,49
5180,-102,27,71,389,6,13,48
5180,-102,33,71,389,5,13,49
5180,-102,32,71,389,6,13,49
5180,-102,26,71,389,6,14,48
5180,-102,24,71,389,7,13,48
5180,-102,25,71,389,7,12,48
5180,-102,33,71,389,6,13,48
5180,-102,38,71,389,8,11,48
5180,-102,43,78,383,8,4,56
5180,-102,30,78,383,8,3,56
5180,-102,26,78,383,8,3,56
5180,-102,47,83,377,8,10,59
5180,-102,50,83,378,9,13,61
5180,-102,52,82,378,7,16,60
5180,-102,51,83,378,8,12,61
5180,-102,39,81,379,7,11,59
5180,-102,37,82,379,7,13,59
5180,-102,37,82,379,8,13,59
5180,-102,57,83,378,6,13,60
5180,-102,48,83,378,6,12,60
5180,-102,47,82,379,7,11,60
5180,-102,21,78,382,10,12,56
5180,-102,58,84,376,5,13,62
5180,-102,35,80,380,8,13,58
5180,-102,37,65,395,12,10,46
5180,-102,39,71,390,7,14,49
5180,-102,47,82,379,7,10,59
5180,-102,41,75,385,6,13,53
5180,-102,35,71,390,6,12,48
5180,-102,33,71,390,7,14,49
5180,-102,33,71,390,7,15,50
5180,-102,34,71,390,7,12,48
5180,-102,36,71,390,8,12,49
5180,-102,36,68,393,8,15,47
5180,-102,33,68,393,7,10,45
5180,-102,32,68,393,9,12,45
5180,-102,36,68,393,7,14,47
5180,-102,36,68,393,6,12,47
5180,-102,36,68,393,7,11,46
5180,-102,35,68,393,7,11,47
5180,-102,33,68,393,7,13,47
5180,-102,36,68,393,8,14,46
5180,-102,37,68,393,9,13,47
5180,-102,40,68,393,8,13,47
5180,-102,39,82,378,7,10,59
5180,-102,56,83,377,5,12,60
5180,-102,44,81,379,8,14,58
5180,-102,43,82,378,6,14,60
5180,-102,30,71,390,7,17,52
5180,-102,38,71,390,7,12,48
5180,-102,38,68,393,6,11,46
5180,-102,35,68,393,7,12,47
5180,-102,31,68,393,6,12,46
5180,-102,35,68,393,6,13,46
5180,-102,31,68,393,7,13,46
5180,-102,30,68,393,6,12,46
5180,-102,40,68,393,7,14,47
5180,-102,35,68,393,7,13,47
5180,-102,50,81,379,6,12,59
5180,-102,31,81,379,7,12,57
5180,-102,58,78,383,6,2,54
5180,-102,42,81,379,6,11,58
5180,-102,43,81,379,7,9,57
5180,-102,38,68,392,19,11,47
5180,-102,34,71,389,6,13,49
5180,-102,29,68,393,7,12,47
5180,-102,31,68,393,8,12,47
5180,-102,35,68,393,8,13,47
5180,-102,32,68,393,7,14,47
5180,-102,30,68,393,7,13,45
5180,-102,28,68,393,8,10,46
5180,-102,35,68,393,8,2,45
5180,-102,30,68,393,6,12,46
5180,-102,31,68,392,6,10,45
5180,-102,35,68,392,6,12,47
5180,-102,31,68,392,7,13,46
5180,-102,27,68,392,6,11,47
5180,-102,35,68,393,7,12,46
5180,-102,34,68,393,8,3,45
5180,-102,25,68,393,7,11,46
5180,-102,32,68,393,10,14,46
5180,-102,34,68,393,7,13,48
5180,-102,30,68,393,7,11,45
5180,-102,32,68,393,8,13,46
5180,-102,25,68,393,7,10,46
5180,-102,24,68,393,6,14,47
5180,-102,28,68,393,6,13,46
5180,-102,32,68,393,7,15,47
5180,-102,30,68,393,8,12,46
5180,-102,32,68,393,7,14,47
5180,-102,29,68,393,7,11,45
5180,-102,34,68,393,8,12,47
5180,-102,38,68,393,8,11,46
5180,-102,33,68,393,7,11,46
5180,-102,33,65,396,9,13,45
5180,-102,24,71,389,7,14,51
5180,-102,43,71,389,8,13,49
5180,-102,43,71,389,8,13,48
5180,-102,29,65,396,14,12,45
5180,-102,34,71,390,6,10,47
5180,-102,35,71,390,7,13,50
5180,-102,35,65,395,8,13,45
5180,-102,37,71,389,6,12,48
5180,-102,31,71,389,7,11,48
5180,-102,30,71,389,7,14,50
5180,-102,39,71,390,8,13,49
5180,-102,29,71,390,7,15,50
5180,-102,38,71,389,6,14,50
5180,-102,32,71,389,6,15,50
5180,-102,34,71,389,7,13,48
5180,-102,25,71,389,5,12,49
5180,-102,35,71,389,6,10,49
5180,-102,43,71,389,7,11,49
5180,-102,39,71,389,7,13,50
5180,-102,25,71,389,7,13,48
5180,-102,33,71,389,8,13,50
5180,-102,32,71,389,7,12,48
5180,-102,33,71,389,6,13,48
5180,-102,25,71,389,8,13,51
5180,-102,33,71,389,6,12,48
5180,-102,33,71,389,6,15,50
5180,-102,35,71,389,7,14,48
5180,-102,31,71,389,7,13,48
5180,-102,24,71,389,5,13,47
5180,-102,40,71,389,7,15,50
5180,-102,28,71,389,7,14,49
5180,-102,33,71,389,6,13,48
5180,-102,35,71,389,7,13,50
5180,-102,38,71,389,7,12,48
5180,-102,35,71,389,6,10,48
5180,-102,31,71,389,7,10,48
5180,-102,41,71,389,7,11,49
5180,-102,27,71,389,7,11,48
5180,-102,39,71,389,6,13,49
5180,-102,32,71,389,6,14,49
5180,-102,27,71,389,7,14,50
5180,-102,32,71,389,8,14,49
5180,-102,30,71,389,7,14,48
5180,-102,21,71,389,7,13,49
5180,-102,32,71,389,7,12,48
