freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5180,-104,39,88,375,5,6,58
5180,-104,43,87,375,5,9,58
5180,-104,65,89,374,4,8,59
5180,-104,53,87,376,5,9,58
5180,-104,75,88,374,5,8,59
5180,-104,51,88,375,5,8,59
5180,-104,61,89,374,4,10,60
5180,-104,57,88,375,4,8,59
5180,-104,47,86,376,4,9,58
5180,-104,51,84,378,6,9,55
5180,-104,52,84,378,5,9,56
5180,-104,80,86,376,15,10,59
5180,-104,79,88,375,5,8,59
5180,-104,59,86,376,6,9,57
5180,-104,49,87,376,5,11,59
5180,-104,90,89,373,3,9,60
5180,-104,58,87,376,5,9,58
5180,-104,43,86,377,5,10,58
5180,-104,43,85,377,5,9,57
5180,-104,40,87,375,5,10,59
5180,-104,41,87,376,4,10,59
5180,-104,40,87,376,5,8,57
5180,-104,57,86,376,4,9,57
5180,-104,45,88,375,4,9,59
5180,-104,25,85,377,6,10,56
5180,-104,44,88,375,6,10,60
5180,-104,56,88,375,5,11,59
5180,-104,50,86,376,5,8,58
5180,-104,57,89,373,5,9,60
5180,-104,44,88,375,5,9,59
5180,-104,48,86,376,4,10,57
5180,-104,40,86,377,5,9,58
5180,-104,49,85,377,6,11,58
5180,-104,60,86,376,5,10,58
5180,-104,43,89,374,4,12,60
5180,-104,42,85,377,4,8,57
5180,-104,50,88,374,4,9,59
5180,-104,53,84,378,14,10,59
5180,-104,69,87,376,5,10,60
5180,-104,59,86,376,6,9,57
5180,-104,65,88,374,3,7,59
5180,-104,67,87,376,5,10,58
5180,-104,87,88,374,4,9,59
5180,-104,54,88,374,3,8,59
5180,-104,52,86,376,6,7,57
5180,-104,51,87,375,5,9,58
5180,-104,56,88,374,5,11,59
5180,-104,53,87,375,4,7,57
5180,-104,30,85,377,8,11,57
5180,-104,48,87,376,7,11,59
5180,-104,53,86,377,6,11,57
5180,-104,43,87,376,6,8,57
5180,-104,49,87,376,5,9,58
5180,-104,61,88,375,4,8,60
5180,-104,43,86,377,6,8,58
5180,-104,49,87,375,4,9,58
5180,-104,72,88,374,5,7,60
5180,-104,65,88,375,5,11,60
5180,-104,62,88,375,5,10,59
5180,-104,60,86,376,5,8,57
5180,-104,55,88,375,5,11,60
5180,-104,45,86,377,6,8,57
5180,-104,73,87,375,4,9,59
5180,-104,44,84,378,6,9,56
5180,-104,63,89,374,3,7,59
5180,-104,54,85,377,6,10,57
5180,-104,46,87,375,6,9,59
5180,-104,44,86,376,6,7,56
5180,-104,41,86,376,4,8,57
5180,-104,81,90,373,3,9,62
5180,-104,39,86,376,4,10,58
5180,-104,76,88,374,5,9,59
5180,-104,46,83,380,18,12,59
5180,-104,76,81,382,4,9,53
5180,-104,59,81,382,6,10,53
5180,-104,53,86,376,6,10,58
5180,-104,42,86,376,5,9,57
5180,-104,28,86,376,5,8,57
5180,-104,54,87,375,6,9,58
5180,-104,50,87,376,7,8,58
5180,-104,58,88,374,5,10,60
5180,-104,67,88,375,5,8,59
5180,-104,71,87,375,5,9,59
5180,-104,41,88,375,3,7,59
5180,-104,64,88,375,5,9,59
5180,-104,38,85,377,8,11,57
5180,-104,39,86,377,4,8,57
5180,-104,49,86,377,5,8,56
5180,-104,53,88,375,4,9,59
5180,-104,39,87,375,6,9,58
5180,-104,48,86,376,4,9,57
5180,-104,34,85,378,5,10,57
5180,-104,56,86,377,5,9,58
5180,-104,45,86,376,4,9,58
5180,-104,54,88,375,5,12,61
5180,-104,49,87,375,4,8,58
5180,-104,71,87,375,6,8,58
5180,-104,55,86,376,7,8,57
5180,-104,49,87,375,5,9,58
5180,-104,57,89,374,4,8,60
5180,-104,67,89,373,4,8,60
5180,-104,72,88,375,5,9,60
5180,-104,89,89,374,5,10,61
5180,-104,50,86,377,5,7,56
5180,-104,51,87,376,5,9,58
5180,-104,63,88,375,4,9,59
5180,-104,62,87,375,5,8,58
5180,-104,75,88,375,4,9,59
5180,-104,36,86,376,6,8,58
5180,-104,67,89,373,6,10,61
5180,-104,68,88,374,5,11,60
5180,-104,42,87,375,4,8,57
5180,-104,75,88,375,5,8,59
5180,-104,44,85,378,5,9,57
5180,-104,33,86,376,5,9,58
5180,-104,52,86,376,5,9,57
5180,-104,60,88,375,5,10,60
5180,-104,67,89,374,4,9,60
5180,-104,79,89,374,4,7,60
5180,-104,86,89,374,4,10,61
5180,-104,52,87,375,5,8,57
5180,-104,67,88,375,3,9,59
5180,-104,72,88,375,6,9,59
5180,-104,60,88,375,5,9,59
5180,-104,86,88,375,4,9,59
5180,-104,68,88,374,6,9,60
5180,-104,42,87,376,5,9,58
5180,-104,59,86,377,5,10,57
5180,-104,64,87,376,5,9,58
5180,-104,39,87,375,5,8,58
5180,-104,58,89,373,4,8,60
5180,-104,56,88,375,6,10,59
5180,-104,29,87,376,6,10,58
5180,-104,61,87,375,4,9,59
5180,-104,97,88,375,5,9,59
5180,-104,49,87,376,4,8,58
5180,-104,58,87,376,5,9,58
5180,-104,49,85,377,5,8,57
5180,-104,46,87,376,5,8,57
5180,-104,91,87,375,4,9,58
5180,-104,72,87,375,5,9,59
5180,-104,31,85,378,6,10,57
5180,-104,54,89,374,4,9,60
5180,-104,71,88,375,4,8,59
5180,-104,84,87,375,6,8,59
5180,-104,47,86,377,5,9,57
5180,-104,66,86,377,6,9,58
5180,-104,53,86,376,4,9,57
5180,-104,44,87,375,3,10,59
5180,-104,46,84,378,7,7,55
5180,-104,87,89,373,6,9,61
5180,-104,62,88,375,7,9,59
5180,-104,51,87,376,8,8,58
5180,-104,68,86,376,6,10,58
5180,-104,53,87,376,7,10,59
5180,-104,98,89,374,6,9,60
5180,-104,43,85,377,8,10,58
5180,-104,86,87,375,8,10,59
5180,-104,80,89,374,7,9,60
5180,-104,67,87,376,6,9,59
5180,-104,50,87,376,6,9,59
5180,-104,57,87,376,7,8,59
5180,-104,75,87,376,6,9,58
5180,-104,66,86,376,8,7,58
5180,-104,40,85,377,7,10,58
5180,-104,59,89,374,5,7,61
5180,-104,60,87,375,8,8,58
5180,-104,38,87,375,7,9,58
5180,-104,43,85,377,8,9,56
5180,-104,35,85,377,9,9,57
5180,-104,64,84,379,8,10,56
5180,-104,66,84,379,7,9,56
5180,-104,73,84,379,7,9,55
5180,-104,45,87,375,8,11,59
5180,-104,51,86,377,5,9,57
5180,-104,72,87,376,4,9,59
5180,-104,54,84,379,19,11,60
5180,-104,46,87,376,5,8,57
5180,-104,46,86,377,6,10,58
5180,-104,29,86,376,5,9,57
5180,-104,46,86,377,5,9,57
5180,-104,43,83,380,16,10,58
5180,-104,44,86,376,4,9,57
5180,-104,52,86,376,6,8,58
5180,-104,35,86,376,5,8,57
5200,-104,64,84,378,4,7,55
5200,-104,65,84,378,4,10,56
5200,-104,72,84,378,5,9,55
5200,-104,68,84,378,4,10,55
5200,-104,71,84,378,4,9,55
5200,-104,69,84,378,4,10,57
5200,-104,56,84,378,5,9,55
5200,-104,57,84,378,4,10,56
5200,-104,63,84,378,5,11,56
5200,-104,76,84,378,5,10,56
5200,-104,65,84,378,3,10,55
5200,-104,79,84,378,4,9,56
5200,-104,40,84,378,4,10,55
5200,-104,60,84,378,4,8,55
5200,-104,49,84,378,4,7,55
5200,-104,74,84,378,4,10,57
5200,-104,49,84,378,3,10,57
5200,-104,63,84,378,5,9,56
5200,-104,59,84,378,5,10,57
5200,-104,62,84,378,4,9,56
5200,-104,42,84,378,5,10,55
5200,-104,60,84,378,4,11,56
5200,-104,56,84,378,4,8,55
5200,-104,49,84,378,4,11,56
5200,-104,60,84,378,4,11,56
5200,-104,47,87,376,6,10,58
5200,-104,31,86,376,7,9,57
5200,-104,32,87,376,5,8,58
5200,-104,59,88,374,4,9,59
5200,-104,33,87,376,5,9,58
5200,-104,39,86,377,13,10,59
5200,-104,57,87,375,5,10,59
5200,-104,49,87,375,5,10,58
5200,-104,46,85,377,4,8,56
5200,-104,29,85,378,7,9,56
5200,-104,38,87,376,5,8,58
5200,-104,46,87,376,5,10,59
5200,-104,65,88,375,5,8,60
5200,-104,44,86,376,5,10,58
5200,-104,29,86,377,5,11,57
5200,-104,46,86,376,7,9,58
5200,-104,42,86,377,7,9,59
5200,-104,44,86,376,7,9,58
5200,-104,54,87,375,6,11,60
5200,-104,54,88,374,7,10,60
5200,-104,37,88,374,4,8,59
5200,-104,44,86,377,6,10,58
5200,-104,51,85,377,5,9,57
5200,-104,62,88,374,5,9,59
5200,-104,65,89,374,4,7,60
5200,-104,91,89,374,4,8,59
5200,-104,32,86,377,5,7,56
5200,-104,33,86,376,5,9,57
5200,-104,39,87,376,4,9,59
5200,-104,62,87,375,4,7,58
5200,-104,49,87,375,3,11,59
5200,-104,58,87,376,6,8,59
5200,-104,44,87,375,4,10,59
5200,-104,52,86,376,4,8,57
5200,-104,51,88,374,5,8,59
5200,-104,38,87,375,4,11,60
5200,-104,63,87,375,3,8,58
5200,-104,39,87,376,4,9,58
5200,-104,58,87,376,4,8,59
5200,-104,64,86,376,4,8,57
5200,-104,71,88,374,4,10,59
5200,-104,51,88,375,5,10,60
5200,-104,65,88,374,3,9,60
5200,-104,57,88,374,4,8,59
5200,-104,58,86,376,5,8,57
5200,-104,45,87,376,4,8,59
5200,-104,47,87,376,5,9,58
5200,-104,61,88,375,6,8,58
5200,-104,51,85,377,6,8,56
5200,-104,75,88,374,4,11,60
5200,-104,52,88,374,5,9,59
5200,-104,77,87,375,4,9,58
5200,-104,78,87,376,4,10,59
5200,-104,65,87,376,4,10,58
5200,-104,81,87,376,4,9,59
5200,-104,76,87,376,4,6,57
5200,-104,79,87,376,5,10,58
5200,-104,56,87,376,2,9,58
5200,-104,77,87,376,5,9,57
5200,-104,70,86,376,5,9,57
5200,-104,64,87,376,4,9,58
5200,-104,51,86,377,6,8,58
5200,-104,60,87,376,3,10,58
5200,-104,54,88,374,3,8,59
5200,-104,57,87,375,4,8,57
5200,-104,75,86,377,5,9,58
5200,-104,51,88,375,4,10,59
5200,-104,80,89,373,4,9,61
5200,-104,72,88,375,6,9,59
5200,-104,53,87,376,6,9,59
5200,-104,61,87,376,5,8,57
5200,-104,69,87,376,5,9,58
5200,-104,44,85,377,5,10,57
5200,-104,51,88,375,5,7,60
5200,-104,71,86,377,6,8,57
5200,-104,63,86,377,5,8,57
5200,-104,50,87,376,5,10,59
5200,-104,47,85,377,5,8,57
5200,-104,45,87,376,5,10,59
5200,-104,42,87,376,4,9,58
5200,-104,40,88,374,4,9,59
5200,-104,83,88,374,5,9,59
5200,-104,69,88,375,4,10,59
5200,-104,57,88,374,4,8,59
5200,-104,51,87,375,6,8,58
5200,-104,28,87,375,4,9,57
5200,-104,56,87,376,5,11,58
5200,-104,76,87,375,5,10,58
5200,-104,59,87,376,5,11,59
5200,-104,39,86,376,4,7,57
5200,-104,41,88,374,4,11,60
5200,-104,39,88,374,4,10,59
5200,-104,57,87,376,6,9,58
5200,-104,53,83,379,18,10,58
5200,-104,54,84,378,5,8,55
5200,-104,67,87,376,5,9,58
5200,-104,53,87,375,5,6,58
5200,-104,44,87,375,5,8,58
5200,-104,68,87,376,4,9,58
5200,-104,40,89,373,6,9,60
5200,-104,51,88,375,4,10,59
5200,-104,73,88,374,5,9,60
5200,-104,50,87,375,4,10,60
