freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5180,-105,59,87,376,3,10,58
5180,-105,75,87,376,6,10,59
5180,-105,72,87,376,4,10,57
5180,-105,76,87,376,4,10,58
5180,-105,43,87,376,4,11,59
5180,-105,74,87,376,6,11,59
5180,-105,65,87,376,5,8,58
5180,-105,79,86,377,5,10,57
5180,-105,61,87,376,4,9,57
5180,-105,74,87,376,4,10,58
5180,-105,59,87,376,5,11,59
5180,-105,57,87,376,4,7,57
5180,-105,67,87,376,3,7,57
5180,-105,75,87,376,5,10,58
5180,-105,55,87,376,5,11,58
5180,-105,69,87,376,5,10,58
5180,-105,48,87,376,4,9,58
5180,-105,65,87,377,4,8,58
5180,-105,46,87,376,5,8,57
5180,-105,56,87,376,5,9,57
5180,-105,73,87,376,5,9,58
5180,-105,60,87,376,5,8,57
5180,-105,61,87,376,4,10,59
5180,-105,61,87,376,5,10,58
5180,-105,59,86,377,4,8,57
5180,-105,44,87,376,5,7,57
5180,-105,59,87,376,5,7,57
5180,-105,75,87,376,5,9,59
5180,-105,73,87,376,5,10,58
5180,-105,52,87,376,5,8,58
5180,-105,66,87,376,3,10,58
5180,-105,54,87,376,6,10,58
5180,-105,51,87,376,4,9,58
5180,-105,64,87,376,5,9,58
5180,-105,70,87,376,4,9,58
5180,-105,31,86,378,5,9,55
5180,-105,53,87,376,4,10,58
5180,-105,49,87,377,5,8,57
5180,-105,77,87,376,4,8,57
5180,-105,86,87,376,4,8,58
5180,-105,47,87,377,4,9,57
5180,-105,76,87,376,5,8,58
5180,-105,69,86,377,5,9,57
5180,-105,59,87,376,6,10,58
5180,-105,55,87,377,5,9,57
5180,-105,70,87,376,4,9,57
5180,-105,58,87,377,6,10,58
5180,-105,64,87,376,5,8,58
5180,-105,90,87,376,4,8,59
5180,-105,75,87,376,6,9,58
5180,-105,64,87,376,5,10,59
5180,-105,62,87,376,5,10,58
5180,-105,58,87,376,4,10,58
5180,-105,62,87,376,4,11,58
5180,-105,63,87,376,3,11,58
5180,-105,73,87,376,4,11,59
5180,-105,79,87,376,5,10,59
5180,-105,78,87,376,4,8,58
5180,-105,73,87,376,5,9,58
5180,-105,53,87,376,4,9,57
5180,-105,70,87,377,4,10,57
5180,-105,67,87,376,4,8,57
5180,-105,64,87,376,4,9,58
5180,-105,44,87,376,5,9,58
5180,-105,71,87,376,3,11,59
5180,-105,72,87,376,5,11,59
5180,-105,66,87,376,5,10,58
5180,-105,67,87,377,5,10,57
5180,-105,81,87,376,4,9,59
5180,-105,82,87,376,6,11,59
5180,-105,56,87,376,6,10,58
5180,-105,67,87,376,2,11,59
