freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5180,-104,40,74,388,17,15,59
5180,-104,44,75,388,15,14,60
5180,-104,55,75,388,16,14,59
5180,-104,53,74,388,16,14,59
5180,-104,35,74,389,16,15,59
5180,-104,47,75,388,16,15,60
5180,-104,39,74,389,16,13,59
5180,-104,53,73,389,16,16,59
5180,-104,44,75,388,15,14,60
5180,-104,48,73,390,17,14,59
5180,-104,51,74,389,16,15,59
5180,-104,39,74,389,16,15,59
5180,-104,61,73,390,17,15,59
5180,-104,59,73,389,17,14,58
5180,-104,44,74,389,17,15,59
5180,-104,35,72,391,19,14,57
5180,-104,41,74,389,17,15,60
5180,-104,48,73,389,18,13,58
5180,-104,39,73,389,18,14,59
5180,-104,41,74,389,15,15,60
5180,-104,46,75,388,14,14,59
5180,-104,42,75,387,15,12,60
5180,-104,36,74,388,16,14,59
5180,-104,50,76,387,15,14,61
5180,-104,48,74,389,17,15,59
5180,-104,46,73,390,17,15,59
5180,-104,41,75,388,16,14,60
5180,-104,55,74,389,15,12,59
5180,-104,47,73,389,16,11,58
5180,-104,27,72,390,18,13,57
5180,-104,62,74,389,16,14,60
5180,-104,54,74,388,16,14,59
5180,-104,38,74,388,16,13,59
5180,-104,33,74,388,16,14,59
5180,-104,33,73,389,18,14,57
5180,-104,50,76,387,16,15,61
5180,-104,39,74,388,16,15,59
5180,-104,46,74,389,17,17,59
5180,-104,53,74,388,15,16,60
5180,-104,51,73,389,18,16,59
5180,-104,57,73,390,17,17,58
5180,-104,42,74,388,17,15,59
5180,-104,61,75,388,15,12,59
5180,-104,42,74,388,15,13,59
5180,-104,51,76,387,15,13,60
5180,-104,36,73,389,17,16,59
5180,-104,37,74,389,17,12,59
5180,-104,42,73,390,17,15,58
5180,-104,54,87,376,5,11,59
5180,-104,69,87,376,4,10,59
5180,-104,67,86,376,5,9,57
5180,-104,59,87,376,5,10,58
5180,-104,59,86,376,6,8,57
5180,-104,84,87,376,4,10,59
5180,-104,61,87,376,4,9,58
5180,-104,58,86,376,4,9,57
5180,-104,86,87,376,4,8,57
5180,-104,72,87,376,4,10,59
5180,-104,51,86,377,5,8,57
5180,-104,81,87,376,3,11,59
5180,-104,51,86,376,4,11,59
5180,-104,52,87,376,3,9,58
5180,-104,82,87,376,4,9,57
5180,-104,82,87,376,4,7,58
5180,-104,61,86,376,4,10,58
5180,-104,64,87,376,3,9,59
5180,-104,58,85,377,3,10,57
5180,-104,34,86,376,4,11,58
5180,-104,69,87,376,4,9,58
5180,-104,49,86,376,5,9,57
5180,-104,75,87,376,3,10,59
5180,-104,67,87,376,3,10,58
5180,-104,57,86,376,4,11,58
5180,-104,74,87,376,1,11,60
5180,-104,48,86,376,4,10,58
5180,-104,88,87,376,3,8,58
5180,-104,41,87,376,4,9,59
5180,-104,84,87,376,3,10,59
5180,-104,81,87,376,5,8,58
5180,-104,40,73,389,17,15,58
5180,-104,57,74,389,17,15,59
5180,-104,55,74,389,17,15,59
5180,-104,46,73,390,16,14,58
5180,-104,47,74,389,16,16,59
5180,-104,50,73,389,16,14,58
5180,-104,46,73,389,17,13,58
5180,-104,54,74,388,17,16,59
5180,-104,43,73,389,17,16,58
5180,-104,44,74,389,17,15,60
5180,-104,35,73,390,18,14,58
5180,-104,38,74,389,16,13,59
5180,-104,60,75,388,15,14,60
5180,-104,57,75,388,15,13,60
5180,-104,59,74,389,16,16,59
5180,-104,44,74,388,16,15,59
5180,-104,35,73,389,17,15,58
5180,-104,48,75,388,17,14,60
5180,-104,46,74,388,15,14,59
5180,-104,62,75,388,17,15,61
5180,-104,47,74,389,16,14,59
5180,-104,62,74,388,15,15,60
5180,-104,33,73,389,17,15,58
5180,-104,48,74,389,16,15,59
5180,-104,30,72,390,18,17,57
5180,-104,46,74,389,17,15,60
5180,-104,36,73,389,17,14,58
5180,-104,47,75,388,16,12,59
5180,-104,40,73,389,17,15,58
5180,-104,32,74,388,16,14,59
5180,-104,35,73,390,18,13,57
5180,-104,42,74,389,17,15,59
5180,-104,44,74,389,17,14,59
5180,-104,33,73,389,17,13,58
5180,-104,43,73,389,18,15,58
5180,-104,51,74,389,15,17,59
5180,-104,44,73,389,18,13,57
5180,-104,46,75,388,16,13,60
5180,-104,35,72,391,18,13,57
5180,-104,32,73,389,17,15,59
5180,-104,56,74,388,17,16,58
5180,-104,55,74,388,17,14,60
5180,-104,32,73,390,18,13,58
5180,-104,50,73,390,18,15,59
5180,-104,41,74,388,15,13,59
5180,-104,36,73,389,18,12,57
5180,-104,67,75,387,16,14,60
5180,-104,31,73,390,18,14,58
5180,-104,40,75,387,16,12,60
5180,-104,37,73,390,17,13,58
5180,-104,45,73,390,18,14,59
5180,-104,69,74,388,16,14,59
5180,-104,54,75,387,15,15,60
5180,-104,47,75,388,15,15,60
5180,-104,32,73,390,17,15,58
5180,-104,55,74,389,17,16,59
5180,-104,36,72,390,17,13,58
5180,-104,49,75,388,17,15,60
5180,-104,34,73,389,16,15,58
5180,-104,36,74,389,17,15,59
5180,-104,48,74,389,17,16,59
5180,-104,55,73,389,17,14,58
5180,-104,39,74,389,15,12,59
5180,-104,42,74,388,17,15,59
5180,-104,40,74,388,16,14,59
5180,-104,45,73,389,16,15,58
5180,-104,46,76,386,14,17,62
5180,-104,39,75,388,14,13,60
5180,-104,38,73,389,17,16,59
5180,-104,33,73,390,18,13,58
5180,-104,33,73,389,16,14,57
5180,-104,45,73,390,18,17,59
5180,-104,36,74,389,17,14,59
5180,-104,40,72,390,17,16,58
5180,-104,48,74,388,17,16,59
5180,-104,52,75,388,16,14,61
5180,-104,39,73,389,17,12,59
5180,-104,50,74,389,17,14,59
5180,-104,36,74,389,16,15,59
5180,-104,32,73,389,17,13,58
5180,-104,37,74,389,16,15,59
5180,-104,38,73,390,18,15,58
5180,-104,51,73,390,17,14,58
5180,-104,59,74,389,15,14,59
5180,-104,40,73,389,17,16,58
5180,-104,34,73,389,17,14,59
5180,-104,52,75,387,16,15,60
5180,-104,44,73,389,18,15,58
5180,-104,47,74,389,17,15,60
5180,-104,46,74,389,17,13,59
5180,-104,47,74,389,16,14,59
5180,-104,31,72,390,18,13,57
5180,-104,50,75,387,15,14,60
5180,-104,37,73,390,18,14,58
5180,-104,35,72,390,18,15,57
5180,-104,37,75,388,17,15,60
5180,-104,35,73,389,18,15,58
5180,-104,46,75,388,16,15,60
5180,-104,42,73,390,18,15,58
5180,-104,32,72,391,19,15,58
5180,-104,37,73,389,18,14,58
5180,-104,50,74,389,15,13,60
5180,-104,69,74,389,17,16,59
5180,-104,41,74,388,16,14,59
5180,-104,40,74,389,17,15,60
5180,-104,32,73,390,18,13,58
5180,-104,32,72,390,16,14,57
5180,-104,49,74,389,18,14,60
5180,-104,36,73,390,18,15,58
5180,-104,46,73,389,18,16,58
5180,-104,53,75,387,16,15,61
5180,-104,37,73,390,17,16,57
5180,-104,37,74,388,16,14,59
5180,-104,45,73,389,17,15,58
5180,-104,40,74,389,17,16,59
5180,-104,46,75,388,16,15,60
5180,-104,51,74,389,17,14,59
5180,-104,43,73,389,17,15,58
5180,-104,43,74,389,18,16,60
5180,-104,55,74,389,16,14,59
5180,-104,76,75,388,15,14,60
5180,-104,46,73,389,17,14,58
5180,-104,48,73,389,18,15,59
5180,-104,49,73,389,17,16,58
5180,-104,46,75,388,15,13,59
5180,-104,59,75,388,16,13,60
5180,-104,36,72,390,17,14,57
5180,-104,36,74,389,17,14,60
5180,-104,36,73,389,18,16,58
5180,-104,63,74,389,17,15,60
5180,-104,30,73,389,16,14,58
5180,-104,35,74,389,17,16,59
5180,-104,40,75,388,15,13,60
5180,-104,40,73,390,17,14,59
5180,-104,57,74,388,16,15,59
5180,-104,45,73,389,18,11,58
5180,-104,37,74,388,15,12,59
5180,-104,41,74,389,15,15,60
5180,-104,37,72,391,19,15,57
5180,-104,38,73,389,18,14,58
5180,-104,56,74,389,16,15,60
5180,-104,38,73,389,17,15,58
5180,-104,40,73,389,17,16,58
5180,-104,39,73,389,17,15,59
5180,-104,55,73,390,18,13,58
5180,-104,37,73,390,17,14,57
5180,-104,50,74,388,16,15,60
5180,-104,57,74,388,15,16,59
5180,-104,48,74,389,17,16,60
5180,-104,40,73,389,18,15,59
5180,-104,44,73,390,17,15,58
5180,-104,41,74,388,15,14,59
5180,-104,41,74,389,16,16,59
5180,-104,35,72,391,19,14,58
5180,-104,50,73,390,17,15,58
5180,-104,44,73,389,16,14,59
5200,-104,48,84,379,5,4,58
5200,-104,40,82,380,6,2,55
5200,-104,67,83,380,8,4,58
5200,-104,42,81,381,7,4,57
5200,-104,42,83,379,7,4,57
5200,-104,39,81,382,8,2,54
5200,-104,36,81,381,7,2,54
